DoW,Mon,Hour,Detected,Real
Tuesday,10,0,3,5
Friday,10,0,3,8
Wednesday,10,1,8,85
Tuesday,10,2,3,39
Tuesday,10,1,6,78
Thursday,10,1,11,79
Sunday,10,1,6,62
Saturday,10,0,1,3
Sunday,10,0,1,18
Tuesday,10,1,6,93
Thursday,10,1,3,88
Friday,10,1,2,100
Sunday,10,1,2,83
Wednesday,10,2,2,40
Saturday,10,1,1,47
Saturday,10,1,2,92
Saturday,10,2,3,21
Tuesday,10,1,7,73
Monday,10,1,1,73
Saturday,10,1,2,90
Monday,10,0,7,73
Thursday,10,1,4,90
Wednesday,10,2,1,26
Monday,10,0,6,34
Saturday,10,0,2,4
Friday,10,1,22,108
Wednesday,10,1,6,84
Saturday,10,1,5,62
Wednesday,10,0,15,99
Saturday,10,1,5,144
Sunday,10,2,10,117
Thursday,10,2,2,34
Wednesday,10,1,4,54
Wednesday,10,1,11,64
Sunday,10,1,9,148
Tuesday,10,0,3,10
Thursday,10,2,4,49
Tuesday,10,1,4,71
Saturday,10,1,6,86
Tuesday,10,1,11,71
Friday,10,1,5,82
Wednesday,10,1,8,68
Sunday,10,0,2,5
Sunday,10,0,1,35
Thursday,10,1,5,78
Saturday,10,1,5,53
Tuesday,10,1,1,51
Monday,10,2,1,39
Wednesday,10,0,1,8
Saturday,10,1,1,42
Saturday,10,2,2,54
Monday,10,2,3,29
Thursday,10,0,1,7
Friday,10,0,5,37
Friday,10,1,10,122
Saturday,10,1,7,63
Sunday,10,1,8,76
Monday,10,1,2,86
Wednesday,10,1,7,75
Sunday,10,1,13,143
Wednesday,10,2,1,36
Thursday,10,0,1,9
Thursday,10,2,3,29
Thursday,10,1,7,73
Tuesday,10,1,6,82
Saturday,10,2,1,70
Sunday,10,0,1,28
Thursday,10,0,5,95
Monday,10,1,11,77
Tuesday,10,0,2,10
Saturday,10,2,1,22
Tuesday,10,1,12,79
Tuesday,10,0,1,8
Saturday,10,0,1,13
Friday,10,1,10,154
Sunday,10,1,6,76
Monday,10,1,5,121
Monday,10,1,6,68
Thursday,10,1,2,80
Wednesday,10,2,14,70
Friday,10,0,5,5
Friday,10,0,3,85
Tuesday,10,0,2,1
Sunday,10,1,1,69
Friday,10,2,1,172
Monday,10,1,2,49
Friday,10,2,3,30
Monday,10,1,1,82
Friday,10,2,1,14
Thursday,10,0,2,8
Saturday,10,1,7,151
Saturday,10,2,3,51
Tuesday,10,0,2,21
Wednesday,10,1,5,68
Saturday,10,0,5,60
Friday,10,1,1,155
Friday,10,0,5,97
Monday,10,1,1,239
Friday,10,1,10,184
Thursday,10,2,3,18
Thursday,10,0,2,3
Saturday,10,0,10,19
Monday,10,0,2,34
Saturday,10,0,6,45
Wednesday,10,0,4,93
Tuesday,10,1,3,74
Monday,10,1,5,149
Tuesday,10,1,3,76
Monday,10,1,11,66
Tuesday,10,0,2,66
Thursday,10,0,3,6
Tuesday,10,2,6,44
Tuesday,10,0,2,10
Tuesday,10,0,2,7
Sunday,10,2,2,25
Friday,10,0,6,44
Saturday,10,0,10,77
Wednesday,10,2,4,49
Friday,10,2,2,45
Tuesday,10,1,5,56
Sunday,10,0,1,14
Saturday,10,1,4,50
Tuesday,10,1,16,74
Sunday,10,1,2,52
Monday,10,0,2,24
Saturday,10,2,1,25
Friday,10,2,1,41
Monday,10,1,8,76
Friday,10,1,2,126
Sunday,10,2,2,16
Sunday,10,1,4,152
Tuesday,10,0,11,108
Sunday,10,1,6,74
Friday,10,0,7,73
Friday,10,1,3,140
Saturday,10,0,1,11
Thursday,10,0,14,97
Monday,10,1,5,68
Sunday,10,1,4,96
Wednesday,10,0,1,8
Wednesday,10,1,2,55
Tuesday,10,1,15,60
Thursday,10,0,4,9
Saturday,10,1,7,86
Wednesday,10,0,5,4
Saturday,10,1,8,81
Friday,10,1,4,126
