DoW,Mon,Hour,Detected,Real
Wednesday,10,1,12,241
Wednesday,10,2,5,49
Friday,10,2,8,253
Thursday,10,1,17,245
Saturday,10,0,8,112
Sunday,10,1,10,188
Wednesday,10,0,18,257
Tuesday,10,0,22,246
Monday,10,1,10,255
Tuesday,10,0,20,305
Tuesday,10,0,23,227
Monday,10,1,13,244
Tuesday,10,2,17,179
Friday,10,0,2,17
Tuesday,10,1,13,205
Friday,10,0,4,23
Tuesday,10,2,4,137
Thursday,10,1,10,212
Thursday,10,1,10,289
Sunday,10,1,4,231
Sunday,10,1,11,289
Friday,10,2,15,350
Saturday,10,1,5,233
Tuesday,10,2,4,159
Friday,10,0,2,26
Friday,10,0,1,38
Monday,10,0,1,20
Friday,10,0,2,32
Thursday,10,1,9,189
Sunday,10,0,4,43
Thursday,10,0,1,24
Thursday,10,2,9,118
Monday,10,2,11,92
Wednesday,10,0,2,26
Sunday,10,1,6,349
Sunday,10,0,1,3
Saturday,10,0,7,127
Saturday,10,0,1,34
Saturday,10,0,3,49
Wednesday,10,2,6,48
Tuesday,10,2,5,210
Saturday,10,1,5,297
Sunday,10,1,17,405
Monday,10,2,6,143
Tuesday,10,1,17,272
Thursday,10,2,2,59
Friday,10,1,17,231
Wednesday,10,1,16,189
Tuesday,10,1,14,221
Thursday,10,0,1,16
Wednesday,10,1,16,180
Tuesday,10,0,3,33
Thursday,10,0,2,29
Thursday,10,1,23,313
Tuesday,10,2,1,90
Thursday,10,0,5,101
Monday,10,1,8,263
Friday,10,1,14,224
Monday,10,0,17,283
Wednesday,10,0,4,22
Monday,10,1,14,499
Wednesday,10,1,16,233
Friday,10,0,5,25
Sunday,10,1,6,239
Friday,10,0,5,28
Tuesday,10,0,5,10
Saturday,10,1,5,264
Friday,10,1,8,183
Thursday,10,0,3,27
Sunday,10,1,8,183
Monday,10,1,4,165
Monday,10,1,12,185
Thursday,10,0,3,37
Thursday,10,1,7,300
Tuesday,10,1,9,189
Sunday,10,2,4,305
Saturday,10,1,8,260
Saturday,10,1,20,351
Tuesday,10,1,26,193
Saturday,10,0,2,48
Saturday,10,0,3,38
Wednesday,10,1,13,232
Friday,10,0,6,22
Sunday,10,0,1,30
Saturday,10,0,4,47
Monday,10,2,2,40
Thursday,10,1,13,344
Thursday,10,2,7,129
Sunday,10,2,7,279
Monday,10,1,1,113
Tuesday,10,1,10,223
Tuesday,10,1,14,265
Wednesday,10,2,5,138
Friday,10,0,20,200
Monday,10,2,2,38
Sunday,10,0,1,19
Thursday,10,1,17,300
Friday,10,0,9,96
Saturday,10,1,5,259
Monday,10,1,8,242
Thursday,10,0,10,84
Sunday,10,1,6,203
Sunday,10,0,2,20
Friday,10,1,10,326
Sunday,10,1,5,147
Saturday,10,2,3,199
Monday,10,1,8,197
Friday,10,0,22,212
Friday,10,0,11,221
Monday,10,1,16,243
Saturday,10,1,13,262
Friday,10,1,5,324
Thursday,10,1,15,184
Sunday,10,0,2,45
Thursday,10,0,2,35
Friday,10,2,12,312
