DoW,Mon,Hour,Detected,Real
Thursday,10,1,1,129
Tuesday,10,1,1,122
Friday,10,0,1,106
Friday,10,1,2,161
Tuesday,10,1,1,131
Wednesday,10,0,1,11
Friday,10,1,2,204
Tuesday,10,1,1,103
Wednesday,10,0,1,185
Saturday,10,1,4,276
Tuesday,10,1,1,166
Saturday,10,1,1,160
Thursday,10,1,1,137
Wednesday,10,0,1,26
Thursday,10,0,2,50
Friday,10,0,1,42
Saturday,10,1,1,120
Thursday,10,1,1,145
Tuesday,10,1,1,126
Friday,10,1,1,157
Monday,10,2,1,371
Saturday,10,1,1,218
Tuesday,10,2,1,47
Monday,10,1,1,301
Tuesday,10,2,2,115
Wednesday,10,2,1,27
Friday,10,1,4,183
Sunday,10,0,2,55
Saturday,10,1,4,150
Wednesday,10,1,1,143
Thursday,10,0,1,138
Thursday,10,1,2,167
Monday,10,2,1,38
Monday,10,1,1,396
Wednesday,10,2,1,38
Tuesday,10,2,1,70
Saturday,10,1,1,143
Wednesday,10,0,1,21
Thursday,10,0,2,162
Tuesday,10,0,1,176
Thursday,10,2,1,47
Saturday,10,0,1,27
Friday,10,0,1,36
Saturday,10,1,2,142
Tuesday,10,0,1,9
Thursday,10,1,5,135
Monday,10,2,1,79
Thursday,10,1,2,135
Wednesday,10,2,1,104
Monday,10,1,2,115
Friday,10,1,1,140
Friday,10,1,2,159
Friday,10,0,1,142
Saturday,10,1,2,336
Tuesday,10,0,1,16
Tuesday,10,0,1,154
Friday,10,1,1,197
Thursday,10,1,1,120
Friday,10,1,2,198
Wednesday,10,2,2,79
Tuesday,10,2,1,82
Friday,10,2,1,273
Wednesday,10,1,2,138
Thursday,10,0,2,183
Tuesday,10,1,1,110
Tuesday,10,0,1,69
Saturday,10,1,2,205
Monday,10,1,1,127
Monday,10,1,3,441
Saturday,10,0,1,83
Friday,10,1,1,167
Thursday,10,1,1,130
Tuesday,10,0,1,12
Thursday,10,0,2,142
Wednesday,10,1,1,126
Tuesday,10,0,2,69
Wednesday,10,1,1,120
Tuesday,10,2,1,59
Sunday,10,1,1,109
Monday,10,1,2,309
Wednesday,10,2,1,74
Friday,10,1,8,329
Monday,10,1,1,167
Thursday,10,0,3,171
Wednesday,10,0,3,158
Friday,10,2,1,74
Friday,10,2,6,116
Friday,10,1,1,348
Tuesday,10,0,1,58
Saturday,10,0,1,42
Saturday,10,0,1,99
Monday,10,0,1,61
Sunday,10,1,1,160
Wednesday,10,1,2,124
Sunday,10,1,2,143
Monday,10,2,1,245
Wednesday,10,1,1,164
Tuesday,10,0,1,119
Saturday,10,1,1,265
Thursday,10,1,1,147
Saturday,10,2,2,71
Wednesday,10,1,1,140
Thursday,10,2,1,112
Tuesday,10,0,4,129
Friday,10,1,6,308
Thursday,10,0,1,28
Friday,10,0,1,106
Thursday,10,2,2,83
Monday,10,1,1,117
Wednesday,10,1,4,139
Sunday,10,1,1,238
Sunday,10,0,1,16
Monday,10,0,2,117
Friday,10,1,2,164
Saturday,10,1,1,120
Wednesday,10,2,2,69
Thursday,10,1,1,139
Wednesday,10,1,2,122
Monday,10,0,1,12
Tuesday,10,1,2,124
Friday,10,0,1,134
Saturday,10,0,1,129
Friday,10,2,4,122
Monday,10,2,1,43
Monday,10,1,2,147
Wednesday,10,1,2,134
Wednesday,10,0,1,20
Thursday,10,1,2,141
Tuesday,10,1,2,141
Friday,10,0,1,147
Friday,10,1,2,172
Friday,10,0,1,13
Sunday,10,1,1,147
Thursday,10,1,1,144
Friday,10,1,2,286
Monday,10,1,1,164
Wednesday,10,0,1,145
Sunday,10,0,1,39
Wednesday,10,2,2,70
Friday,10,1,9,275
Monday,10,1,1,172
Thursday,10,1,1,129
Wednesday,10,1,1,156
Friday,10,1,9,272
Thursday,10,1,2,154
Monday,10,1,1,113
Thursday,10,1,2,153
Wednesday,10,0,1,26
Thursday,10,1,1,157
Thursday,10,0,1,17
Tuesday,10,1,2,149
Friday,10,1,7,318
Thursday,10,2,1,132
Tuesday,10,0,1,45
Friday,10,0,1,140
Sunday,10,1,1,179
Wednesday,10,2,1,34
Wednesday,10,0,1,10
Monday,10,1,3,135
Friday,10,1,5,173
Thursday,10,0,1,18
Wednesday,10,1,1,141
Saturday,10,1,1,141
Wednesday,10,1,1,126
Friday,10,0,1,139
Sunday,10,2,1,119
Wednesday,10,1,1,113
Thursday,10,1,1,128
Monday,10,1,2,130
Saturday,10,1,1,269
Monday,10,1,3,117
Tuesday,10,1,1,125
Monday,10,0,1,20
Monday,10,1,2,140
Monday,10,1,1,158
Friday,10,0,1,85
Monday,10,1,1,327
Sunday,10,1,1,109
Tuesday,10,1,1,138
Sunday,10,1,1,105
Tuesday,10,0,1,20
Tuesday,10,2,1,28
Monday,10,0,2,46
Wednesday,10,1,6,142
Sunday,10,0,1,12
Tuesday,10,2,2,96
Saturday,10,1,1,147
Tuesday,10,0,1,14
Wednesday,10,0,1,78
Saturday,10,1,2,156
Friday,10,1,4,247
Monday,10,1,1,127
Wednesday,10,1,1,121
Wednesday,10,1,2,136
Friday,10,1,2,151
Friday,10,2,10,307
Wednesday,10,1,2,126
Wednesday,10,0,1,33
Friday,10,2,3,229
Tuesday,10,0,1,36
Friday,10,1,1,185
Friday,10,2,9,241
Wednesday,10,1,1,133
Wednesday,10,1,1,127
Tuesday,10,1,1,129
Tuesday,10,2,1,72
Thursday,10,1,2,155
Wednesday,10,1,3,122
Sunday,10,0,1,20
Friday,10,0,2,143
Thursday,10,1,1,133
Tuesday,10,2,1,21
Wednesday,10,0,1,83
Tuesday,10,0,1,183
Sunday,10,2,1,135
Monday,10,1,1,138
Sunday,10,2,1,149
Friday,10,0,1,129
Tuesday,10,0,1,181
Friday,10,0,1,160
Friday,10,0,1,120
Sunday,10,2,1,120
Thursday,10,1,1,140
Thursday,10,1,1,133
Tuesday,10,0,1,41
Tuesday,10,1,1,166
Tuesday,10,1,2,121
Tuesday,10,0,1,12
Wednesday,10,1,2,156
Saturday,10,1,1,157
Sunday,10,1,2,103
Thursday,10,1,1,132
Friday,10,1,4,332
Friday,10,1,1,271
Tuesday,10,0,2,22
Friday,10,2,5,137
Friday,10,2,5,181
Wednesday,10,1,1,159
Saturday,10,0,2,66
Friday,10,1,2,129
Monday,10,1,1,516
Saturday,10,0,1,29
Saturday,10,1,1,192
Monday,10,1,2,139
Wednesday,10,0,1,27
Sunday,10,2,1,227
Friday,10,1,1,313
Friday,10,1,1,218
Wednesday,10,1,3,127
Thursday,10,1,1,117
Wednesday,10,0,1,164
Thursday,10,1,1,140
Thursday,10,0,1,21
Wednesday,10,0,1,143
Saturday,10,1,1,136
Saturday,10,1,1,199
Friday,10,2,1,142
