"";"idSensor";"Fecha";"Total"
"134";"1011";2015-10-19 01:15:00;15,9166666666667
"135";"1011";2015-10-31 01:15:00;31,8333333333333
"136";"1011";2015-10-09 01:15:00;79,5833333333333
"137";"1011";2015-10-16 01:15:00;31,8333333333333
"138";"1011";2015-10-18 01:15:00;15,9166666666667
"139";"1011";2015-10-20 01:15:00;15,9166666666667
"140";"1011";2015-10-21 01:15:00;31,8333333333333
"141";"1011";2015-10-14 01:15:00;47,75
"142";"1011";2015-10-10 01:15:00;47,75
"143";"1011";2015-10-30 01:15:00;31,8333333333333
"144";"1011";2015-10-25 01:15:00;15,9166666666667
"145";"1011";2015-10-15 01:30:00;31
"146";"1011";2015-10-20 01:30:00;31
"147";"1011";2015-10-19 01:30:00;46,5
"148";"1011";2015-10-12 01:30:00;15,5
"149";"1011";2015-10-24 01:30:00;15,5
"150";"1011";2015-10-08 01:30:00;15,5
"151";"1011";2015-10-26 01:30:00;15,5
"152";"1011";2015-10-30 01:30:00;108,5
"153";"1011";2015-10-17 01:30:00;46,5
"154";"1011";2015-10-16 01:30:00;15,5
"155";"1011";2015-10-09 01:30:00;93
"156";"1011";2015-10-18 01:30:00;31
"157";"1011";2015-10-29 01:30:00;15,5
"158";"1011";2015-10-22 01:30:00;31
"159";"1011";2015-10-23 01:30:00;77,5
"160";"1011";2015-10-14 01:30:00;46,5
"161";"1011";2015-10-31 01:30:00;46,5
"162";"1011";2015-10-10 01:30:00;46,5
"163";"1011";2015-10-27 01:30:00;31
"164";"1011";2015-10-11 01:30:00;15,5
"165";"1011";2015-10-16 01:45:00;44
"166";"1011";2015-10-12 01:45:00;11
"167";"1011";2015-10-26 01:45:00;11
"168";"1011";2015-10-13 01:45:00;11
"169";"1011";2015-10-22 01:45:00;22
"170";"1011";2015-10-31 01:45:00;55
"171";"1011";2015-10-20 01:45:00;55
"172";"1011";2015-10-23 01:45:00;22
"173";"1011";2015-10-24 01:45:00;22
"174";"1011";2015-10-09 01:45:00;11
"175";"1011";2015-10-08 01:45:00;22
"176";"1011";2015-10-28 01:45:00;11
"177";"1011";2015-10-14 01:45:00;22
"178";"1011";2015-10-30 01:45:00;33
"179";"1011";2015-10-21 01:45:00;55
"180";"1011";2015-10-20 02:00:00;11
"181";"1011";2015-10-28 02:00:00;11
"182";"1011";2015-10-15 02:00:00;33
"183";"1011";2015-10-16 02:00:00;22
"184";"1011";2015-10-21 02:00:00;11
"185";"1011";2015-10-10 02:00:00;11
"186";"1011";2015-10-22 02:00:00;11
"187";"1011";2015-10-08 02:00:00;22
"188";"1011";2015-10-27 02:00:00;33
"189";"1011";2015-10-09 02:00:00;55
"190";"1011";2015-10-17 02:00:00;44
"191";"1011";2015-10-23 02:00:00;44
"192";"1011";2015-10-24 02:00:00;44
"193";"1011";2015-10-14 02:00:00;88
"194";"1011";2015-10-26 02:00:00;22
"195";"1011";2015-10-29 02:00:00;33
"196";"1011";2015-10-25 02:00:00;22
"197";"1011";2015-10-30 02:00:00;33
"198";"1011";2015-10-18 02:00:00;22
"199";"1011";2015-10-08 02:15:00;12,3333333333333
"200";"1011";2015-10-17 02:15:00;12,3333333333333
"201";"1011";2015-10-28 02:15:00;24,6666666666667
"202";"1011";2015-10-24 02:15:00;49,3333333333333
"203";"1011";2015-10-19 02:15:00;12,3333333333333
"204";"1011";2015-10-15 02:15:00;37
"205";"1011";2015-10-10 02:15:00;49,3333333333333
"206";"1011";2015-10-22 02:15:00;24,6666666666667
"207";"1011";2015-10-16 02:15:00;49,3333333333333
"208";"1011";2015-10-12 02:15:00;12,3333333333333
"209";"1011";2015-10-18 02:15:00;12,3333333333333
"210";"1011";2015-10-11 02:15:00;24,6666666666667
"211";"1011";2015-10-09 02:15:00;98,6666666666667
"212";"1011";2015-10-21 02:15:00;49,3333333333333
"213";"1011";2015-10-30 02:15:00;12,3333333333333
"214";"1011";2015-10-26 02:15:00;12,3333333333333
"215";"1011";2015-10-27 02:15:00;24,6666666666667
"216";"1011";2015-10-14 02:15:00;37
"217";"1011";2015-10-25 02:15:00;12,3333333333333
"218";"1011";2015-10-15 02:30:00;60
"219";"1011";2015-10-20 02:30:00;84
"220";"1011";2015-10-08 02:30:00;48
"221";"1011";2015-10-16 02:30:00;24
"222";"1011";2015-10-21 02:30:00;60
"223";"1011";2015-10-18 02:30:00;12
"224";"1011";2015-10-24 02:30:00;12
"225";"1011";2015-10-17 02:30:00;12
"226";"1011";2015-10-22 02:30:00;12
"227";"1011";2015-10-09 02:30:00;36
"228";"1011";2015-10-26 02:30:00;12
"229";"1011";2015-10-23 02:30:00;12
"230";"1011";2015-10-14 02:30:00;12
"231";"1011";2015-10-10 02:30:00;24
"232";"1011";2015-10-13 02:30:00;24
"233";"1011";2015-10-30 02:30:00;24
"234";"1011";2015-10-27 02:30:00;24
"235";"1011";2015-10-08 02:45:00;39
"236";"1011";2015-10-29 02:45:00;26
"237";"1011";2015-10-28 02:45:00;65
"238";"1011";2015-10-16 02:45:00;26
"239";"1011";2015-10-30 02:45:00;52
"240";"1011";2015-10-17 02:45:00;26
"241";"1011";2015-10-21 02:45:00;65
"242";"1011";2015-10-10 02:45:00;26
"243";"1011";2015-10-22 02:45:00;26
"244";"1011";2015-10-23 02:45:00;39
"245";"1011";2015-10-18 02:45:00;26
"246";"1011";2015-10-24 02:45:00;13
"247";"1011";2015-10-25 02:45:00;52
"248";"1011";2015-10-26 02:45:00;13
"249";"1011";2015-10-09 02:45:00;13
"250";"1011";2015-10-11 02:45:00;13
"251";"1011";2015-10-14 02:45:00;65
"252";"1011";2015-10-28 03:00:00;13,25
"253";"1011";2015-10-19 03:00:00;39,75
"254";"1011";2015-10-15 03:00:00;13,25
"255";"1011";2015-10-12 03:00:00;13,25
"256";"1011";2015-10-16 03:00:00;39,75
"257";"1011";2015-10-13 03:00:00;26,5
"258";"1011";2015-10-31 03:00:00;13,25
"259";"1011";2015-10-14 03:00:00;79,5
"260";"1011";2015-10-11 03:00:00;13,25
"261";"1011";2015-10-20 03:00:00;26,5
"262";"1011";2015-10-17 03:00:00;13,25
"263";"1011";2015-10-24 03:00:00;13,25
"264";"1011";2015-10-22 03:00:00;39,75
"265";"1011";2015-10-29 03:00:00;39,75
"266";"1011";2015-10-23 03:00:00;13,25
"267";"1011";2015-10-30 03:00:00;26,5
"268";"1011";2015-10-10 03:00:00;26,5
"269";"1011";2015-10-21 03:00:00;39,75
"270";"1011";2015-10-18 03:00:00;26,5
"271";"1011";2015-10-26 03:00:00;26,5
"272";"1011";2015-10-08 03:15:00;22
"273";"1011";2015-10-21 03:15:00;11
"274";"1011";2015-10-12 03:15:00;11
"275";"1011";2015-10-17 03:15:00;11
"276";"1011";2015-10-19 03:15:00;44
"277";"1011";2015-10-20 03:15:00;22
"278";"1011";2015-10-09 03:15:00;22
"279";"1011";2015-10-14 03:15:00;11
"280";"1011";2015-10-29 03:15:00;33
"281";"1011";2015-10-13 03:15:00;11
"282";"1011";2015-10-30 03:15:00;33
"283";"1011";2015-10-23 03:15:00;33
"284";"1011";2015-10-26 03:15:00;33
"285";"1011";2015-10-31 03:15:00;11
"286";"1011";2015-10-28 03:15:00;44
"287";"1011";2015-10-18 03:15:00;11
"288";"1011";2015-10-15 03:15:00;33
"289";"1011";2015-10-10 03:15:00;22
"290";"1011";2015-10-22 03:15:00;11
"291";"1011";2015-10-24 03:15:00;33
"292";"1011";2015-10-20 03:30:00;13
"293";"1011";2015-10-12 03:30:00;13
"294";"1011";2015-10-09 03:30:00;78
"295";"1011";2015-10-16 03:30:00;26
"296";"1011";2015-10-29 03:30:00;13
"297";"1011";2015-10-14 03:30:00;104
"298";"1011";2015-10-15 03:30:00;52
"299";"1011";2015-10-19 03:30:00;13
"300";"1011";2015-10-17 03:30:00;65
"301";"1011";2015-10-08 03:30:00;91
"302";"1011";2015-10-24 03:30:00;39
"303";"1011";2015-10-30 03:30:00;13
"304";"1011";2015-10-31 03:30:00;13
"305";"1011";2015-10-26 03:30:00;13
"306";"1011";2015-10-18 03:30:00;13
"307";"1011";2015-10-27 03:30:00;65
"308";"1011";2015-10-22 03:30:00;26
"309";"1011";2015-10-23 03:30:00;13
"310";"1011";2015-10-21 03:30:00;52
"311";"1011";2015-10-10 03:30:00;39
"312";"1011";2015-10-09 03:45:00;11,5
"313";"1011";2015-10-21 03:45:00;34,5
"314";"1011";2015-10-22 03:45:00;11,5
