"","idSensor","Fecha","Total"
"133","1011",2015-10-02 10:30:00,9
"134","1011",2015-10-02 10:45:00,16
"135","1011",2015-10-02 11:00:00,14
"136","1011",2015-10-02 11:15:00,14
"137","1011",2015-10-02 11:30:00,17
"138","1011",2015-10-02 11:45:00,24
"139","1011",2015-10-02 12:00:00,11
"140","1011",2015-10-02 12:15:00,21
"141","1011",2015-10-02 12:30:00,21
"142","1011",2015-10-02 12:45:00,19
"143","1011",2015-10-02 13:00:00,16
"144","1011",2015-10-02 13:15:00,18
"145","1011",2015-10-02 13:30:00,12
"146","1011",2015-10-02 13:45:00,11
"147","1011",2015-10-02 14:00:00,25
"148","1011",2015-10-02 14:15:00,21
"149","1011",2015-10-02 14:30:00,11
"150","1011",2015-10-02 14:45:00,16
"151","1011",2015-10-02 15:00:00,16
"152","1011",2015-10-02 15:15:00,15
"153","1011",2015-10-02 15:30:00,25
"154","1011",2015-10-02 15:45:00,13
"155","1011",2015-10-02 16:00:00,6
"156","1011",2015-10-02 16:15:00,11
"157","1011",2015-10-02 16:30:00,17
"158","1011",2015-10-02 16:45:00,18
"159","1011",2015-10-02 17:00:00,16
"160","1011",2015-10-02 17:15:00,10
"161","1011",2015-10-02 17:30:00,13
"162","1011",2015-10-02 17:45:00,9
"163","1011",2015-10-02 18:00:00,8
"164","1011",2015-10-02 18:15:00,11
"165","1011",2015-10-02 18:30:00,17
"166","1011",2015-10-02 18:45:00,18
"167","1011",2015-10-02 19:00:00,9
"168","1011",2015-10-02 19:15:00,16
"169","1011",2015-10-02 19:30:00,11
"170","1011",2015-10-02 19:45:00,19
"171","1011",2015-10-02 20:00:00,17
"172","1011",2015-10-02 20:15:00,13
"173","1011",2015-10-02 20:30:00,10
"174","1011",2015-10-02 20:45:00,23
"175","1011",2015-10-02 21:00:00,12
"176","1011",2015-10-02 21:15:00,13
"177","1011",2015-10-02 21:30:00,7
"178","1011",2015-10-02 21:45:00,16
"179","1011",2015-10-02 22:00:00,13
"180","1011",2015-10-02 22:15:00,15
"181","1011",2015-10-02 22:30:00,6
"182","1011",2015-10-02 22:45:00,3
"183","1011",2015-10-02 23:00:00,3
"184","1011",2015-10-02 23:15:00,6
"185","1011",2015-10-02 23:30:00,5
"186","1011",2015-10-02 23:45:00,1
"187","1011",2015-10-03 00:00:00,4
"188","1011",2015-10-03 00:15:00,3
"189","1011",2015-10-03 00:30:00,1
"190","1011",2015-10-03 01:00:00,8
"191","1011",2015-10-03 01:15:00,6
"192","1011",2015-10-03 01:30:00,4
"193","1011",2015-10-03 01:45:00,4
"194","1011",2015-10-03 02:00:00,4
"195","1011",2015-10-03 02:15:00,1
"196","1011",2015-10-03 02:30:00,5
"197","1011",2015-10-03 02:45:00,2
"198","1011",2015-10-03 03:00:00,1
