DoW,Mon,Hour,Detected,Real
Thursday,10,0,1,10
Wednesday,10,1,3,38
Sunday,10,2,1,53
Tuesday,10,2,1,38
Friday,10,1,1,60
Wednesday,10,0,1,10
Thursday,10,0,1,54
Tuesday,10,0,1,12
Saturday,10,1,1,72
Monday,10,0,2,11
Thursday,10,1,7,46
Wednesday,10,2,2,40
Friday,10,0,2,47
Monday,10,0,2,60
Saturday,10,0,1,26
Tuesday,10,0,1,14
Tuesday,10,1,2,54
Sunday,10,2,1,89
Friday,10,0,1,29
Monday,10,1,6,92
Wednesday,10,0,3,33
Thursday,10,1,1,61
Friday,10,1,1,55
Saturday,10,0,3,8
Wednesday,10,0,1,4
Wednesday,10,1,3,57
Thursday,10,0,1,44
Thursday,10,0,3,36
Friday,10,1,1,117
Thursday,10,2,2,60
Friday,10,0,1,4
Friday,10,1,1,131
Wednesday,10,0,3,51
Thursday,10,0,1,3
Tuesday,10,1,2,63
Saturday,10,1,1,89
Friday,10,0,1,50
Wednesday,10,0,4,23
Friday,10,2,1,51
Thursday,10,1,2,41
Friday,10,1,1,51
Thursday,10,0,1,36
Tuesday,10,1,1,65
Sunday,10,1,3,45
Wednesday,10,1,2,41
Saturday,10,0,1,10
Friday,10,0,1,59
Monday,10,1,1,77
Friday,10,0,1,32
Wednesday,10,0,1,4
Saturday,10,1,1,51
Saturday,10,1,1,73
Sunday,10,1,1,183
Monday,10,1,1,276
Saturday,10,1,1,91
Wednesday,10,0,1,35
Tuesday,10,0,2,15
Wednesday,10,1,4,46
Saturday,10,1,1,93
Tuesday,10,1,2,35
Saturday,10,0,1,13
Friday,10,2,1,66
Thursday,10,1,2,57
Monday,10,1,2,77
Tuesday,10,0,3,55
Sunday,10,1,2,105
Saturday,10,1,1,61
Tuesday,10,0,1,7
Monday,10,2,1,92
Thursday,10,1,3,47
Wednesday,10,2,1,39
Friday,10,0,1,47
Thursday,10,1,2,36
Tuesday,10,0,3,13
Wednesday,10,0,1,3
Saturday,10,0,1,36
Thursday,10,1,2,47
Friday,10,1,2,71
Sunday,10,1,2,42
Tuesday,10,1,5,59
Friday,10,1,2,47
Wednesday,10,0,2,8
Tuesday,10,0,2,32
Friday,10,1,2,50
Tuesday,10,1,1,74
Wednesday,10,1,3,56
Monday,10,1,3,56
Friday,10,2,1,24
Tuesday,10,0,1,20
Thursday,10,2,4,35
Tuesday,10,1,2,40
Tuesday,10,0,1,38
Tuesday,10,1,3,53
Wednesday,10,1,3,38
Wednesday,10,0,1,56
Thursday,10,1,4,52
Wednesday,10,1,5,45
Monday,10,1,1,35
Tuesday,10,0,2,68
Thursday,10,1,2,46
Sunday,10,0,1,4
Wednesday,10,1,3,38
Monday,10,1,1,49
Saturday,10,2,3,31
Tuesday,10,1,6,50
Friday,10,0,1,7
Thursday,10,0,1,52
Tuesday,10,1,1,50
Monday,10,0,3,60
Tuesday,10,0,3,42
Thursday,10,0,2,31
Wednesday,10,2,1,44
Saturday,10,0,1,6
Saturday,10,0,2,8
Thursday,10,0,1,4
Monday,10,0,2,3
Wednesday,10,2,1,42
Sunday,10,1,1,53
Monday,10,0,1,11
Monday,10,0,1,12
Tuesday,10,1,2,67
Monday,10,2,1,40
Tuesday,10,2,1,19
Sunday,10,0,1,9
Thursday,10,0,2,4
Sunday,10,0,1,3
Tuesday,10,1,4,41
Thursday,10,0,3,8
Thursday,10,0,3,45
Thursday,10,1,2,43
Monday,10,2,2,33
Saturday,10,1,4,54
Sunday,10,1,3,75
Tuesday,10,0,2,67
Tuesday,10,1,3,55
Tuesday,10,1,1,56
Friday,10,2,1,120
Friday,10,0,1,8
Wednesday,10,0,1,5
Saturday,10,1,1,85
Monday,10,0,7,24
Wednesday,10,1,3,34
Wednesday,10,1,2,39
Tuesday,10,1,7,45
Thursday,10,0,2,13
Friday,10,0,1,15
Monday,10,1,1,284
Monday,10,1,4,234
Friday,10,1,1,105
Wednesday,10,1,1,41
Monday,10,1,1,47
Wednesday,10,1,1,47
Tuesday,10,2,1,20
Wednesday,10,1,1,41
Wednesday,10,1,2,48
Wednesday,10,1,1,38
Sunday,10,2,1,118
Saturday,10,2,1,72
Tuesday,10,1,2,58
Monday,10,2,3,24
Saturday,10,2,1,60
Friday,10,1,1,49
Friday,10,1,3,71
Thursday,10,1,1,40
Wednesday,10,2,2,33
Wednesday,10,1,2,46
Friday,10,1,2,53
Sunday,10,1,1,43
Sunday,10,1,1,75
Tuesday,10,1,1,81
Wednesday,10,1,2,34
Sunday,10,2,1,93
Friday,10,2,2,102
Wednesday,10,0,1,17
Wednesday,10,1,2,68
Monday,10,2,2,24
Saturday,10,1,1,77
Saturday,10,1,1,80
Monday,10,1,1,40
Saturday,10,1,1,77
Thursday,10,0,2,7
Wednesday,10,1,2,46
Friday,10,0,1,11
Wednesday,10,1,1,58
Wednesday,10,0,1,40
Wednesday,10,0,1,23
Tuesday,10,0,2,26
Wednesday,10,1,1,51
Wednesday,10,0,3,4
Friday,10,0,1,17
Friday,10,0,2,45
Sunday,10,1,3,91
Sunday,10,2,2,34
Tuesday,10,0,1,6
Wednesday,10,0,2,3
Saturday,10,1,1,74
Tuesday,10,1,3,68
Monday,10,1,1,52
Monday,10,1,1,73
Monday,10,1,2,53
Tuesday,10,0,1,12
Tuesday,10,0,1,2
Tuesday,10,2,1,49
Friday,10,1,1,50
Saturday,10,1,1,104
Sunday,10,2,2,51
Thursday,10,1,2,45
Tuesday,10,0,1,3
Monday,10,1,2,43
Monday,10,1,2,67
Wednesday,10,1,2,42
Sunday,10,1,1,57
Saturday,10,1,2,47
Monday,10,1,2,270
Tuesday,10,0,1,3
Saturday,10,1,1,95
Saturday,10,0,1,37
Thursday,10,1,1,55
Tuesday,10,0,1,49
Thursday,10,0,2,53
Thursday,10,1,3,41
Tuesday,10,0,2,41
Saturday,10,2,2,53
Friday,10,0,1,3
Wednesday,10,1,2,45
Thursday,10,1,3,56
Wednesday,10,1,2,49
Wednesday,10,1,1,34
Friday,10,1,3,44
Tuesday,10,1,2,37
Tuesday,10,2,1,21
Saturday,10,1,1,62
Friday,10,1,4,39
Saturday,10,1,1,111
Sunday,10,0,2,14
Friday,10,0,3,7
Friday,10,2,1,73
Thursday,10,0,1,49
Friday,10,1,1,47
Tuesday,10,2,1,22
Saturday,10,1,1,52
Wednesday,10,1,1,45
Friday,10,1,2,102
Thursday,10,2,1,17
Saturday,10,1,2,59
Tuesday,10,1,1,44
Thursday,10,1,5,44
Monday,10,1,3,56
Monday,10,0,5,9
Friday,10,2,1,74
Thursday,10,0,1,4
Thursday,10,0,2,57
Friday,10,0,1,46
Friday,10,1,2,80
Wednesday,10,1,1,45
Thursday,10,1,1,61
Sunday,10,1,1,120
Wednesday,10,0,3,47
Thursday,10,1,1,57
Saturday,10,0,1,18
Wednesday,10,0,2,56
Sunday,10,1,1,105
Monday,10,0,2,5
Friday,10,1,1,52
Tuesday,10,1,3,43
Saturday,10,1,2,62
Saturday,10,1,3,46
Sunday,10,2,2,64
Tuesday,10,1,1,47
Monday,10,1,2,41
Wednesday,10,1,3,35
Saturday,10,0,2,24
Friday,10,0,1,10
Saturday,10,1,1,67
Tuesday,10,1,1,61
Monday,10,1,1,41
Wednesday,10,0,1,9
Wednesday,10,0,1,2
Thursday,10,0,1,36
Wednesday,10,0,1,1
Friday,10,1,1,105
Friday,10,0,4,55
Monday,10,1,1,44
Thursday,10,0,2,23
Tuesday,10,0,3,3
Saturday,10,1,1,90
Tuesday,10,1,5,60
Sunday,10,1,1,80
Saturday,10,1,1,60
Sunday,10,1,1,43
Wednesday,10,0,4,4
Thursday,10,0,3,14
Saturday,10,1,2,102
Sunday,10,2,1,78
Monday,10,1,3,42
Tuesday,10,0,1,5
Monday,10,1,3,31
Wednesday,10,1,1,43
Tuesday,10,1,2,39
Friday,10,0,1,17
Friday,10,1,2,83
Wednesday,10,1,2,41
Tuesday,10,0,5,49
Thursday,10,1,1,43
Wednesday,10,1,2,48
Monday,10,1,1,22
Tuesday,10,0,1,9
Tuesday,10,1,2,52
Friday,10,1,1,83
Wednesday,10,1,1,48
Wednesday,10,0,1,7
Saturday,10,1,4,51
Monday,10,0,1,5
Friday,10,1,2,58
Wednesday,10,0,3,55
Tuesday,10,2,2,27
Saturday,10,1,1,96
Saturday,10,1,1,76
Saturday,10,0,1,13
Sunday,10,0,1,5
Wednesday,10,1,1,51
Wednesday,10,1,1,38
Wednesday,10,2,3,42
Wednesday,10,0,1,48
Wednesday,10,1,1,64
Sunday,10,2,1,35
Thursday,10,0,1,57
Saturday,10,0,1,8
Sunday,10,2,1,79
Tuesday,10,2,3,16
Thursday,10,1,4,57
Wednesday,10,2,2,14
Sunday,10,1,1,34
Thursday,10,1,2,42
Wednesday,10,0,1,15
Monday,10,0,1,5
Sunday,10,0,1,3
Friday,10,1,2,57
Thursday,10,2,2,13
Saturday,10,2,2,19
Wednesday,10,0,1,2
Monday,10,2,1,35
Monday,10,2,1,48
Saturday,10,0,1,18
Saturday,10,0,1,29
Friday,10,2,1,30
Wednesday,10,2,1,19
Friday,10,1,3,51
Thursday,10,1,3,36
Sunday,10,1,1,109
Friday,10,2,1,107
Wednesday,10,2,1,15
Tuesday,10,0,1,14
Wednesday,10,0,1,9
Friday,10,1,1,50
Monday,10,2,2,50
Thursday,10,1,1,46
Monday,10,2,2,142
Monday,10,1,1,59
Wednesday,10,0,1,13
Wednesday,10,1,2,49
Wednesday,10,1,1,50
Sunday,10,2,1,22
Friday,10,1,1,49
Wednesday,10,1,2,38
Monday,10,1,1,100
Tuesday,10,0,3,56
Monday,10,1,2,42
Wednesday,10,0,1,4
Tuesday,10,1,2,48
Thursday,10,1,2,51
Wednesday,10,1,1,38
Wednesday,10,0,1,40
Friday,10,0,3,30
Wednesday,10,2,1,48
Monday,10,0,2,7
Sunday,10,1,1,150
Wednesday,10,2,1,45
Thursday,10,2,3,45
Wednesday,10,0,1,45
Thursday,10,1,2,35
Tuesday,10,1,3,35
Saturday,10,0,1,7
Wednesday,10,2,1,12
Thursday,10,0,1,8
Monday,10,1,4,129
Wednesday,10,1,1,51
Saturday,10,1,1,48
Sunday,10,1,1,200
Tuesday,10,0,1,4
Sunday,10,1,1,39
Monday,10,0,2,9
Tuesday,10,1,1,59
Thursday,10,1,2,41
Friday,10,1,1,65
Wednesday,10,0,2,29
Thursday,10,1,2,46
Tuesday,10,2,2,29
Friday,10,0,2,52
Tuesday,10,1,2,46
Friday,10,1,2,65
Sunday,10,0,1,11
Thursday,10,2,1,18
Friday,10,2,1,41
Thursday,10,0,3,1
Saturday,10,1,2,39
Saturday,10,1,1,51
Tuesday,10,0,1,9
Saturday,10,1,1,54
Tuesday,10,1,2,39
Monday,10,1,1,46
Monday,10,1,1,67
Friday,10,0,1,43
Tuesday,10,1,1,55
Thursday,10,1,3,58
Sunday,10,0,1,9
Monday,10,1,1,41
Friday,10,1,3,101
Tuesday,10,0,1,64
Friday,10,0,1,50
Saturday,10,2,1,39
Tuesday,10,0,2,50
Friday,10,1,2,143
Sunday,10,0,1,21
Wednesday,10,1,2,34
Tuesday,10,0,1,6
Friday,10,1,3,42
Friday,10,1,1,111
Monday,10,0,4,19
Tuesday,10,0,1,71
Sunday,10,1,1,90
Tuesday,10,1,4,44
Saturday,10,0,1,39
Thursday,10,0,2,55
Thursday,10,0,2,32
Wednesday,10,2,1,17
Wednesday,10,1,1,44
Tuesday,10,0,1,1
Tuesday,10,1,1,61
Friday,10,1,3,47
Wednesday,10,2,3,43
Wednesday,10,0,5,35
Saturday,10,1,1,61
Sunday,10,0,1,24
Friday,10,2,1,37
Thursday,10,1,2,54
Monday,10,1,1,47
Friday,10,2,1,36
Tuesday,10,1,2,55
Thursday,10,1,1,46
Friday,10,1,3,43
Friday,10,1,1,66
Thursday,10,1,3,51
Monday,10,0,1,4
Thursday,10,1,1,38
Friday,10,0,2,16
Friday,10,1,2,108
Friday,10,1,2,49
Saturday,10,0,1,15
Tuesday,10,1,4,35
Tuesday,10,0,2,12
Friday,10,2,1,43
Thursday,10,1,2,61
Wednesday,10,2,1,12
Friday,10,0,1,6
Friday,10,1,1,29
Thursday,10,2,2,18
Wednesday,10,0,1,4
Sunday,10,2,2,81
Sunday,10,0,1,20
Monday,10,0,5,14
Sunday,10,0,2,19
Thursday,10,1,2,42
Thursday,10,2,5,37
Friday,10,1,1,56
Wednesday,10,0,1,56
Wednesday,10,1,1,61
Monday,10,1,2,84
Tuesday,10,1,2,51
Friday,10,0,1,8
Wednesday,10,1,1,50
Thursday,10,0,1,13
Thursday,10,2,1,12
Monday,10,1,3,44
Wednesday,10,1,3,47
Thursday,10,1,6,57
Sunday,10,1,2,53
Tuesday,10,2,1,17
Monday,10,2,2,22
Tuesday,10,1,1,46
Friday,10,0,5,42
Tuesday,10,1,1,48
Wednesday,10,1,1,52
Wednesday,10,0,1,17
Saturday,10,1,2,57
Friday,10,1,1,42
Monday,10,1,2,46
Thursday,10,0,1,49
Tuesday,10,2,3,49
Friday,10,1,1,85
Saturday,10,0,1,12
Tuesday,10,0,1,57
Monday,10,1,1,48
Sunday,10,2,6,108
Thursday,10,1,3,47
Tuesday,10,1,1,29
Friday,10,1,3,57
Monday,10,1,1,119
Tuesday,10,1,3,40
Friday,10,0,1,47
Friday,10,0,2,15
Thursday,10,0,5,13
Friday,10,0,1,11
Thursday,10,0,2,15
Friday,10,1,2,82
Wednesday,10,0,2,33
Thursday,10,0,2,4
Friday,10,0,2,2
Tuesday,10,1,2,62
Thursday,10,2,1,17
Tuesday,10,1,1,38
Tuesday,10,2,2,12
Thursday,10,1,3,48
Friday,10,0,2,22
Tuesday,10,1,1,39
Friday,10,2,2,85
Wednesday,10,1,2,49
Tuesday,10,1,4,51
Monday,10,1,3,42
Friday,10,0,2,44
Tuesday,10,0,2,52
Friday,10,0,2,46
Friday,10,1,2,54
Friday,10,2,1,38
Monday,10,1,1,232
Thursday,10,1,1,43
Friday,10,0,2,13
Friday,10,1,1,48
Wednesday,10,0,1,17
Tuesday,10,0,1,8
Wednesday,10,1,1,54
Tuesday,10,0,3,48
Sunday,10,1,1,65
Wednesday,10,1,1,30
Friday,10,1,1,41
Tuesday,10,1,2,51
Thursday,10,1,1,39
Monday,10,2,1,16
Saturday,10,0,1,7
Wednesday,10,2,1,12
Tuesday,10,0,1,8
