DoW,Mon,Hour,Detected,Real
Thursday,10,1,2,40
Friday,10,2,1,14
Wednesday,10,1,1,54
Friday,10,1,3,91
Friday,10,1,1,58
Tuesday,10,0,1,23
Sunday,10,1,1,60
Monday,10,2,1,51
Friday,10,1,1,65
Friday,10,2,4,124
Friday,10,2,1,33
Friday,10,2,2,62
Wednesday,10,1,1,36
Sunday,10,2,1,80
Friday,10,0,1,8
Friday,10,1,1,58
Wednesday,10,0,1,7
Thursday,10,0,1,5
Wednesday,10,2,1,15
Thursday,10,1,3,51
Thursday,10,1,1,54
Thursday,10,1,1,61
Tuesday,10,1,5,57
Thursday,10,0,2,15
Friday,10,1,1,69
Thursday,10,1,1,44
Monday,10,2,2,58
Monday,10,2,1,204
Thursday,10,1,2,63
Friday,10,0,1,38
Saturday,10,0,2,3
Thursday,10,0,2,48
Tuesday,10,1,1,58
Saturday,10,0,3,22
Thursday,10,1,2,41
Monday,10,1,2,143
Thursday,10,1,2,45
Thursday,10,2,1,48
Sunday,10,0,1,12
Monday,10,0,1,3
Saturday,10,1,1,75
Thursday,10,0,1,30
Thursday,10,1,1,42
Thursday,10,1,2,51
Tuesday,10,2,3,31
Wednesday,10,1,2,45
Monday,10,0,1,13
Thursday,10,0,1,22
Friday,10,0,1,18
Thursday,10,1,4,50
Friday,10,1,2,96
Thursday,10,1,3,75
Wednesday,10,1,1,67
Thursday,10,2,2,17
Friday,10,0,1,1
Thursday,10,1,4,60
Friday,10,0,1,19
Saturday,10,2,1,50
Tuesday,10,1,2,44
Friday,10,2,2,71
Monday,10,1,1,183
Friday,10,0,1,43
Saturday,10,1,3,110
Monday,10,1,1,55
Friday,10,1,1,75
Wednesday,10,0,1,74
Thursday,10,1,2,36
Saturday,10,1,1,63
Tuesday,10,0,1,50
Tuesday,10,1,1,43
Tuesday,10,1,2,41
Friday,10,0,1,1
Monday,10,1,1,22
Sunday,10,0,1,4
Wednesday,10,1,1,29
Friday,10,0,1,5
Friday,10,1,3,54
Monday,10,0,1,4
Saturday,10,1,1,83
Wednesday,10,0,1,11
Sunday,10,1,2,213
Friday,10,1,1,70
Thursday,10,0,1,20
Friday,10,1,3,46
Monday,10,0,1,4
Friday,10,0,1,44
Tuesday,10,1,1,47
Wednesday,10,1,1,42
Saturday,10,1,3,92
Saturday,10,0,1,21
Tuesday,10,0,1,6
Thursday,10,0,1,55
Saturday,10,0,1,7
Sunday,10,1,1,50
Tuesday,10,1,1,66
Friday,10,1,4,77
Friday,10,0,2,7
Monday,10,1,1,49
Tuesday,10,1,1,56
Friday,10,2,1,69
Wednesday,10,0,2,49
Saturday,10,1,2,34
Sunday,10,1,1,49
Wednesday,10,1,1,49
Friday,10,1,2,57
Monday,10,1,2,196
Saturday,10,1,1,87
Tuesday,10,1,1,49
Saturday,10,0,1,6
Sunday,10,1,1,166
Tuesday,10,1,1,58
Saturday,10,1,2,130
Monday,10,2,3,109
Monday,10,1,3,94
Friday,10,1,1,60
Tuesday,10,1,1,66
Saturday,10,1,1,115
Wednesday,10,1,1,55
Thursday,10,1,1,40
Wednesday,10,0,3,62
Thursday,10,0,1,58
Tuesday,10,1,1,47
Thursday,10,1,4,62
Friday,10,1,1,52
Wednesday,10,0,1,4
Tuesday,10,1,2,43
Sunday,10,1,2,84
Monday,10,0,1,4
Friday,10,1,1,61
Sunday,10,1,3,53
Tuesday,10,1,2,47
Monday,10,1,3,50
Saturday,10,1,1,81
Friday,10,1,1,47
Monday,10,0,1,24
Saturday,10,1,2,85
Wednesday,10,1,3,63
Tuesday,10,1,1,46
Saturday,10,0,1,10
Monday,10,2,1,213
Saturday,10,1,6,44
Friday,10,1,4,43
Wednesday,10,1,2,62
Saturday,10,0,1,9
Tuesday,10,1,5,48
Wednesday,10,1,3,63
Wednesday,10,0,2,5
Friday,10,1,3,37
Thursday,10,0,1,6
Friday,10,1,1,64
Thursday,10,1,2,54
Saturday,10,1,1,85
Sunday,10,1,1,226
Thursday,10,0,3,7
Thursday,10,0,1,3
Monday,10,1,2,82
Thursday,10,2,1,51
Wednesday,10,1,1,51
Thursday,10,0,2,6
Thursday,10,1,4,43
Tuesday,10,0,1,6
Friday,10,1,1,43
Saturday,10,1,2,60
Wednesday,10,1,2,60
Tuesday,10,1,1,54
Monday,10,0,1,3
Tuesday,10,0,1,64
Monday,10,1,3,90
Thursday,10,2,1,38
Friday,10,0,2,55
Tuesday,10,1,1,41
Saturday,10,0,2,8
Friday,10,1,3,104
Wednesday,10,1,2,56
Tuesday,10,1,3,49
Wednesday,10,0,1,3
Wednesday,10,0,1,41
Monday,10,1,1,71
Saturday,10,1,1,46
Wednesday,10,1,1,49
Friday,10,1,1,97
Wednesday,10,1,1,33
Wednesday,10,1,3,56
Tuesday,10,2,4,23
Wednesday,10,1,1,52
Monday,10,1,1,82
Thursday,10,1,1,32
Monday,10,2,1,14
Wednesday,10,2,2,49
Friday,10,1,1,57
Monday,10,1,2,72
Friday,10,1,4,41
Wednesday,10,0,1,61
Wednesday,10,2,1,25
Thursday,10,2,2,64
Sunday,10,1,2,100
Friday,10,1,3,80
Friday,10,2,1,55
Friday,10,1,3,48
Thursday,10,1,1,58
Thursday,10,2,1,28
Wednesday,10,1,3,54
Friday,10,1,2,62
Tuesday,10,1,1,64
Monday,10,2,1,12
Sunday,10,1,1,164
Saturday,10,0,2,27
Monday,10,1,3,83
Tuesday,10,0,7,33
Wednesday,10,0,1,11
Saturday,10,0,1,1
Saturday,10,0,1,4
Tuesday,10,1,1,42
Saturday,10,2,3,47
Thursday,10,1,3,56
Tuesday,10,1,1,60
Saturday,10,0,1,13
Monday,10,1,2,160
Saturday,10,1,2,77
Tuesday,10,1,1,51
Thursday,10,1,5,70
Tuesday,10,1,2,69
Sunday,10,2,1,75
Tuesday,10,0,1,7
Thursday,10,0,1,8
Saturday,10,1,1,83
Wednesday,10,1,1,54
Wednesday,10,1,4,58
Thursday,10,2,2,47
Tuesday,10,0,1,34
Tuesday,10,1,5,50
Tuesday,10,0,1,51
Thursday,10,1,3,49
Thursday,10,2,1,42
Friday,10,1,1,91
Wednesday,10,1,1,45
Saturday,10,1,1,73
Wednesday,10,2,1,66
Friday,10,1,2,50
Monday,10,0,1,11
Sunday,10,1,1,59
Tuesday,10,1,1,40
Wednesday,10,1,2,36
Friday,10,1,2,44
Sunday,10,1,1,68
Thursday,10,1,1,49
Monday,10,0,1,24
Monday,10,0,2,3
Monday,10,1,5,44
Thursday,10,1,4,44
Saturday,10,1,2,80
Wednesday,10,0,1,2
Tuesday,10,0,1,5
Saturday,10,1,2,85
Thursday,10,0,1,47
Sunday,10,1,2,50
Monday,10,1,1,80
Tuesday,10,0,1,39
Friday,10,1,1,47
Thursday,10,0,1,5
Tuesday,10,1,1,42
Monday,10,1,1,23
Thursday,10,0,1,1
Monday,10,2,1,14
Saturday,10,1,3,83
Wednesday,10,1,4,48
Monday,10,1,2,83
Thursday,10,1,5,44
Friday,10,0,1,42
Wednesday,10,2,1,55
Wednesday,10,1,2,47
Friday,10,1,2,85
Tuesday,10,1,2,62
Friday,10,0,2,3
Friday,10,0,2,35
Thursday,10,1,1,39
Tuesday,10,0,1,49
Thursday,10,0,1,3
Wednesday,10,0,2,38
Friday,10,1,1,43
Wednesday,10,1,3,51
Sunday,10,0,1,19
Wednesday,10,0,3,9
Tuesday,10,1,1,41
Tuesday,10,1,2,51
Wednesday,10,1,2,52
Friday,10,1,3,56
Thursday,10,0,3,11
Friday,10,1,4,100
Thursday,10,2,1,60
Monday,10,1,1,55
Friday,10,0,2,50
Monday,10,1,1,50
Wednesday,10,1,1,40
Friday,10,0,1,16
Wednesday,10,0,1,2
Friday,10,0,1,1
Monday,10,0,1,39
Tuesday,10,1,2,58
Wednesday,10,1,1,36
Wednesday,10,0,1,21
Tuesday,10,0,1,8
Thursday,10,1,2,48
Sunday,10,1,1,108
Monday,10,1,1,57
Friday,10,0,1,10
Thursday,10,1,6,38
Monday,10,1,1,51
Tuesday,10,2,3,39
Sunday,10,1,3,60
Thursday,10,2,2,41
Friday,10,2,2,54
Friday,10,0,2,6
Saturday,10,0,1,26
Thursday,10,1,2,62
Tuesday,10,0,2,5
Sunday,10,2,1,130
Friday,10,1,1,42
Thursday,10,2,1,21
Sunday,10,1,1,56
Saturday,10,2,2,62
Thursday,10,0,1,50
Monday,10,1,3,88
Tuesday,10,1,1,44
Monday,10,2,3,223
Tuesday,10,1,1,62
Monday,10,0,1,13
Wednesday,10,0,3,49
Tuesday,10,0,2,59
Sunday,10,1,2,111
Monday,10,0,1,7
Friday,10,0,1,42
Tuesday,10,1,1,27
Thursday,10,1,2,31
Friday,10,0,1,18
Saturday,10,2,1,35
Tuesday,10,1,1,43
Friday,10,1,1,66
Sunday,10,0,1,13
Thursday,10,1,1,52
Tuesday,10,0,2,8
Monday,10,1,2,39
Wednesday,10,2,3,51
Tuesday,10,0,3,57
Friday,10,1,2,37
Thursday,10,1,1,34
Wednesday,10,0,1,3
Thursday,10,1,1,52
Thursday,10,0,2,38
Wednesday,10,1,1,53
Tuesday,10,2,1,18
Tuesday,10,1,1,39
Thursday,10,0,2,26
Monday,10,0,1,74
Thursday,10,1,5,43
Thursday,10,0,1,6
Thursday,10,1,3,51
Thursday,10,1,4,49
Monday,10,1,1,48
Wednesday,10,1,2,60
Friday,10,1,3,117
Wednesday,10,2,1,49
Thursday,10,1,1,56
Saturday,10,1,1,91
Thursday,10,1,4,45
Sunday,10,1,2,87
Thursday,10,1,2,51
Friday,10,0,1,28
Monday,10,0,2,57
Thursday,10,1,3,49
Thursday,10,1,1,46
Saturday,10,1,1,57
Friday,10,0,1,3
Monday,10,2,2,28
Saturday,10,1,2,45
Friday,10,0,2,9
Saturday,10,2,1,78
Monday,10,0,1,8
Thursday,10,0,2,4
Thursday,10,2,2,19
Monday,10,0,1,5
Thursday,10,1,5,47
Saturday,10,1,1,105
Wednesday,10,1,1,47
Monday,10,1,1,64
Monday,10,1,2,71
Saturday,10,0,1,42
Wednesday,10,1,1,34
Wednesday,10,0,2,10
Tuesday,10,1,1,35
Wednesday,10,1,3,47
Thursday,10,0,1,7
Friday,10,0,2,44
Wednesday,10,2,2,42
Tuesday,10,1,2,50
Sunday,10,0,1,3
Wednesday,10,0,2,7
Monday,10,1,3,37
Tuesday,10,1,2,48
Tuesday,10,1,2,71
Monday,10,1,1,48
Saturday,10,1,1,47
Friday,10,1,2,32
Thursday,10,2,2,43
Tuesday,10,2,1,16
Saturday,10,1,2,60
Thursday,10,1,2,56
Thursday,10,2,1,26
Monday,10,1,2,39
Sunday,10,1,1,54
Monday,10,0,1,8
Wednesday,10,1,3,45
Thursday,10,1,1,48
Thursday,10,1,2,49
Thursday,10,2,1,42
Tuesday,10,0,2,48
Wednesday,10,1,3,42
Monday,10,2,1,174
Monday,10,1,1,57
Friday,10,0,2,49
Friday,10,1,1,98
Friday,10,0,3,49
Thursday,10,1,2,44
Tuesday,10,1,2,44
Wednesday,10,0,1,56
Tuesday,10,1,2,46
Friday,10,1,1,108
