5
#n time_relat_102	time_relat_112	time_relat_122	time_relat_132	time_relat_142
0.003624979	0.943977591	0	0.027187346	0.025210084
0.207064555	0.792935445	0	0	0
0.072522983	0	0	0.927477017	0
0.073375262	0.914046122	0.012578616	0	0
0.014362657	0.921962896	0.01101137	0.013165769	0.039497307
0.009577603	0.86910609	0.00589391	0.057711198	0.057711198
0	1	0	0	0
1	0	0	0	0
0.151811386	0.797584819	0.050603795	0	0
0	0.202072539	0.622913069	0	0.175014393
0	1	0	0	0
0.48865372	0.490835697	0	0	0.020510583
1	0	0	0	0
0	0	0	1	0
0	0	0	1	0
0	0.914267016	0.085732984	0	0
0.200099387	0.039423555	0	0	0.760477058
0	1	0	0	0
0	0.091512565	0	0	0.908487435
0.000137334	0.413445032	0.058504429	0.028702877	0.499210328
0.774475524	0	0	0.113636364	0.111888112
0	0	0	1	0
0	0	0	1	0
0	0.571568388	0	0.05725471	0.371176902
0	0.623476721	0.376523279	0	0
0	0.765545362	0.234454638	0	0
0	0	0	0.774483378	0.225516622
0	0	0	0.62962963	0.37037037
0	0.307824888	0	0.257583592	0.43459152
0	0	0	0.749253731	0.250746269
0.005260851	0.992985533	0.001753617	0	0
0	0	0	1	0
0.045771302	0.868546088	0	0.038169148	0.047513462
0	0.097352426	0.854228907	0.032450809	0.015967858
0	0	0	1	0
0.054772835	0.945227165	0	0	0
0	0	1	0	0
0	1	0	0	0
0	0	0	1	0
0.235294118	0	0	0.305882353	0.458823529
0.032476802	0.577444682	0.389364739	0.000713776	0
0	0	0	0.936026936	0.063973064
0.018088871	0.427447896	0	0.044828942	0.50963429
0.016971494	0.762563849	0.192453452	0.020761246	0.007249959
0.121387904	0.654420453	0.127618434	0.045762166	0.050811043
0	0.228132712	0.559912257	0	0.211955032
0	0	0	1	0
0	0	0	1	0
0	0	0	0.559734513	0.440265487
0.051297772	0.441446965	0.254649499	0.088289393	0.16431637
0	0.584620233	0.415379767	0	0
0	0	0	1	0
0	0	0	1	0
1	0	0	0	0
0	0	0	0.868895733	0.131104267
0	0.011684518	0.007789679	0	0.980525803
0	0	1	0	0
0.02175424	0.856686127	0.104045038	0.008757298	0.008757298
0.062490146	0.607505124	0.097177695	0.031902034	0.200925001
0.860215054	0	0	0.139784946	0
0	0.982788296	0.017211704	0	0
0.363453815	0.636546185	0	0	0
0.037069215	0.905589343	0	0	0.057341442
0.197247706	0.056574924	0	0.022324159	0.723853211
0.485812286	0.514187714	0	0	0
0	1	0	0	0
0	0	0	0	1
0	0.844530103	0.11123348	0.022026432	0.022209985
0.183962264	0.514150943	0.301886792	0	0
0	0.584502746	0.415497254	0	0
0	0.757909656	0.223436357	0	0.018653987
0	0.027267338	0	0.853191069	0.119541593
0.048788927	0.537024221	0.105536332	0.023875433	0.284775087
0	0.745192308	0	0.254807692	0
1	0	0	0	0
0	0	0	1	0
1	0	0	0	0
0	1	0	0	0
0.006346894	0.172926855	0	0.005410467	0.815315784
0.032496307	0	0	0.797932053	0.16957164
0	1	0	0	0
0.020023361	0.643917904	0	0.026530953	0.309527782
0.176257363	0.467301012	0.041383477	0.090469718	0.224588431
0	0	0	0.886446886	0.113553114
0.006302521	0.993697479	0	0	0
0.214759536	0	0	0.76119403	0.024046434
0.011190138	0.019124388	0	0.52862336	0.441062115
0	0	0	1	0
1	0	0	0	0
0.301449606	0.566373702	0	0.048168017	0.084008675
0.007971014	0.992028986	0	0	0
0	0	0	1	0
0	0.774687065	0.0945758	0.130737135	0
0.948957584	0	0.040258807	0	0.010783609
0	0.637389868	0.325991189	0	0.036618943
0	0	0	1	0
0	0	0	1	0
0	0.022624434	0.006334842	0.514932127	0.456108597
0.132673267	0.23960396	0	0.07359736	0.554125413
0	1	0	0	0
0.919212963	0.032175926	0	0.023148148	0.025462963
1	0	0	0	0
0.046825397	0.753174603	0	0.025	0.175
0	1	0	0	0
0.014416776	0.197247706	0.053735256	0.127785059	0.606815203
0	0	0	0.653907496	0.346092504
0	0.314226258	0.685773742	0	0
0	0.671191901	0.258628624	0.014265992	0.055913484
0	0.39231547	0.60768453	0	0
0.042561229	0.62028584	0.051942328	0.056853239	0.228357363
0	0	0	1	0
0	0.066902794	0	0.597796143	0.335301063
1	0	0	0	0
0	0	0	1	0
0.010125301	0.137830654	0	0.368181243	0.483862802
0	0.456992866	0.42737919	0	0.115627945
0	0.616043881	0.200205691	0	0.183750429
0	0	0	1	0
1	0	0	0	0
0.065400844	0	0	0.451476793	0.483122363
0	0.50636831	0.472481888	0.010574901	0.010574901
0.048990363	0.623795319	0.133031207	0.069412575	0.124770537
0.03869969	0.799793602	0	0	0.161506708
0	0	0	1	0
0	0.022408964	0.198879552	0.246498599	0.532212885
0	0.346980787	0.002516011	0.061756633	0.588746569
0	0	0	1	0
0.00886484	0.679484227	0	0	0.311650933
0.66180758	0.189504373	0	0	0.148688047
0	0	0	1	0
0.111641221	0.493877226	0.305979644	0.003975827	0.084526081
0	0	0	1	0
1	0	0	0	0
1	0	0	0	0
0	1	0	0	0
0	0	0	1	0
0.576190476	0.395238095	0	0	0.028571429
0.251504024	0.461051645	0.232440034	0.020939136	0.034065161
0.67392832	0.018973999	0	0.304989459	0.002108222
0	0.572453826	0.427546174	0	0
0.14666781	0.655030449	0.118792349	0.000343083	0.079166309
0	0	0	1	0
1	0	0	0	0
1	0	0	0	0
0	0	0	1	0
0.062122635	0.249698108	0	0.29397558	0.394203676
1	0	0	0	0
0.209803922	0.388532383	0.322043969	0.027153892	0.052465835
0	0	0	1	0
0	0	1	0	0
0	0.516584767	0.428593366	0.013743857	0.04107801
1	0	0	0	0
0.112279823	0.753819184	0.108690208	0	0.025210786
0	1	0	0	0
0.390911438	0.353989156	0.008520527	0.043893623	0.202685257
0	0	0	1	0
0	0.310810811	0.063063063	0.313063063	0.313063063
0.39008	0	0	0.3808	0.22912
0	1	0	0	0
0.040178571	0	0	0.136160714	0.823660714
0	0.760776477	0.169283471	0.034970026	0.034970026
0.132803632	0.776958002	0	0.090238365	0
0	1	0	0	0
0	0	0	0.5	0.5
0.044124477	0.461333024	0.0204366	0.126915931	0.347189967
0	0.643848731	0.341550981	0	0.014600287
1	0	0	0	0
0	0.160472973	0.839527027	0	0
0	0.532397815	0.467602185	0	0
0	0.982319392	0	0.007794677	0.009885932
0	0	0	0.929078014	0.070921986
0	0	0	0	1
0.586573354	0.412389839	0.001036807	0	0
0	1	0	0	0
0.007704655	0.182985554	0	0.43964687	0.369662921
0.010014306	0.432761087	0	0.095851216	0.461373391
0	0	0	1	0
0.103809857	0.452638937	0	0.11814051	0.325410696
0	0.903722504	0	0.00321489	0.093062606
0.415562515	0.535112021	0.049325464	0	0
0	0.974167873	0.015629522	0	0.010202605
0	0	0	1	0
0	0	0	1	0
0.081411126	0.458955224	0.327679783	0.036295794	0.095658073
1	0	0	0	0
0	0	0	0.5	0.5
0.000479954	0	0.078680447	0.532076921	0.388762679
0	0.245930488	0.252089749	0.125384954	0.376594809
0.982758621	0	0	0.017241379	0
0.086710092	0.482615684	0.26342949	0.057101768	0.110142966
0.546103066	0.29770017	0.005110733	0.02991908	0.121166951
0.159133358	0	0	0.201905118	0.638961524
0.049003322	0	0	0.452657807	0.49833887
0	0	0	1	0
0	0.828282828	0.171717172	0	0
0.016348774	0	0.436875568	0	0.546775658
0.008552373	0.549862691	0.026520204	0.059945077	0.355119655
0.000203004	0.32501015	0	0	0.674786845
0.317073171	0	0	0.682926829	0
0	0.383458647	0	0.616541353	0
0.014204545	0.887310606	0	0	0.098484848
0.33011849	0.106089832	0.430421604	0	0.133370074
0.292031098	0.38483965	0	0.153547133	0.169582119
1	0	0	0	0
0.069478654	0.894499179	0.013752053	0.009544335	0.01272578
0	0.427207637	0.572792363	0	0
0	0	0	1	0
0	0.997361478	0.002638522	0	0
0	0.530349014	0.469650986	0	0
0	0	0	1	0
0.019978721	0.375812744	0.050951649	0.090199787	0.463057099
1	0	0	0	0
0	1	0	0	0
0	0.904749728	0.095250272	0	0
0.078313253	0.716404078	0.205282669	0	0
0	0.86443662	0.129107981	0.006455399	0
0	0	0	1	0
0.101433297	0.628996692	0.054024256	0.002480706	0.21306505
0	0	0	1	0
0	0	0	1	0
0	0	0	1	0
0	1	0	0	0
0	1	0	0	0
0	0	0	0.710059172	0.289940828
0.093171472	0.868588771	0.038239757	0	0
1	0	0	0	0
0	0.071304348	0	0.03826087	0.890434783
0	0.82387022	0.17612978	0	0
0	0.994056848	0	0.005943152	0
0.270553064	0.729446936	0	0	0
0	0.84508547	0.15224359	0	0.00267094
1	0	0	0	0
1	0	0	0	0
0	0.97712704	0.002185315	0	0.020687646
0.169886501	0.548901232	0.249577397	0.015817435	0.015817435
0.174055829	0	0.819376026	0	0.006568144
0.474970896	0.037252619	0.062863795	0.272409779	0.15250291
1	0	0	0	0
0	0.849368319	0	0.023517979	0.127113703
0	0.342311034	0.639443962	0.018245004	0
0	0.411264612	0.408076514	0.004250797	0.176408077
0	0.49562549	0.048772525	0.20912771	0.246474275
0	0.9547289	0	0	0.0452711
0.265625	0.376488095	0.26264881	0.066964286	0.02827381
1	0	0	0	0
0	0	0.911167513	0.088832487	0
0	0.411764706	0	0.588235294	0
0.139567836	0.75203684	0.007084662	0	0.101310662
1	0	0	0	0
1	0	0	0	0
0	1	0	0	0
