12
#n horas_totales	tiempo_absoluto_102	tiempo_absoluto_112	tiempo_absoluto_122	tiempo_absoluto_132	tiempo_absoluto_142	duracion_visita	tiempo_relativo_visita_102	tiempo_relativo_visita_112	tiempo_relativo_visita_122	tiempo_relativo_visita_132	tiempo_relativo_visita_142
13308	0	0	0	12810	498	518237.305	0	0	0	0.9625789	0.0374211	3
33752	0	27324	2157	1444	2827	379674.889	0	0.809552027	0.063907324	0.04278265	0.083758	3
46	46	0	0	0	0	664214.379	1	0	0	0	0	4
200	200	0	0	0	0	584769.637	1	0	0	0	0	4
305	305	0	0	0	0	683384.572	1	0	0	0	0	4
414	0	1	0	394	19	518674.118	0	0.002415459	0	0.951690821	0.04589372	4
2128	2128	0	0	0	0	604001.765	1	0	0	0	0	4
5004	0	0	0	4946	58	532402.968	0	0	0	0.988409273	0.011590727	4
5661	411	3380	1870	0	0	606861.696	0.072602014	0.597067656	0.33033033	0	0	4
10713	0	0	0	10713	0	689388.626	0	0	0	1	0	4
13092	0	11417	0	190	1485	609870.563	0	0.872059273	0	0.014512679	0.113428048	4
600700	0	471690	65037	0	63973	630162.068	0	0.785233894	0.108268687	0	0.10649742	4
4	0	0	0	4	0	806909.882	0	0	0	1	0	5
18	18	0	0	0	0	755906.342	1	0	0	0	0	5
19	19	0	0	0	0	711761.411	1	0	0	0	0	5
80	80	0	0	0	0	775239.761	1	0	0	0	0	5
85	85	0	0	0	0	691233.992	1	0	0	0	0	5
93	93	0	0	0	0	695260.517	1	0	0	0	0	5
178	178	0	0	0	0	751463.901	1	0	0	0	0	5
807	442	0	0	365	0	692339.984	0.547707559	0	0	0.452292441	0	5
1450	860	0	0	0	590	720341.119	0.593103448	0	0	0	0.406896552	5
1821	0	0	0	1678	143	801266.914	0	0	0	0.921471719	0.078528281	5
2835	2835	0	0	0	0	784624.82	1	0	0	0	0	5
3639	0	20	0	3619	0	791416.682	0	0.005496015	0	0.994503985	0	5
11070	0	0	0	11070	0	849756.988	0	0	0	1	0	5
12129	12129	0	0	0	0	698809.972	1	0	0	0	0	5
25660	0	8	0	23570	2082	721214.408	0	0.000311769	0	0.918550273	0.081137958	5
35332	0	34189	1	0	1142	784522.31	0	0.967649723	2.83E-05	0	0.032321974	5
84407	1091	0	0	54660	28656	863341.456	0.012925468	0	0	0.647576623	0.339497909	5
787335	0	595529	191806	0	0	746844.242	0	0.756385782	0.243614218	0	0	5
861	0	0	0	825	36	1015999.92	0	0	0	0.958188153	0.041811847	6
18430	217	10993	7220	0	0	971116.499	0.011774281	0.596473142	0.391752577	0	0	6
19808	7981	11368	0	0	459	1030165.248	0.402918013	0.573909532	0	0	0.023172456	6
26969	2268	21768	1216	43	1674	875402.648	0.084096555	0.807148949	0.045088806	0.001594423	0.062071267	6
32011	0	0	0	25217	6794	877618.735	0	0	0	0.787760457	0.212239543	6
32599	0	24468	2317	1933	3881	1034491.495	0	0.750575171	0.0710758	0.059296297	0.119052732	6
36317	1973	18639	2506	6128	7071	877916.536	0.054327175	0.513230718	0.069003497	0.168736404	0.194702206	6
49668	0	27277	4295	2583	15513	1020930.174	0	0.549186599	0.086474189	0.052005315	0.312333897	6
76399	1077	12481	858	2254	59729	1027395.171	0.014097043	0.163366013	0.011230513	0.029503004	0.781803427	6
