"","idSensor","idDispositivo","tinicio","tfin","Obsoleto","duracion_s","tDB","sincio","sfin","fabricante","naturaleza","etiqueta","majordeviceclass","minordeviceclass","serviceclass"
"28","112","02D9A122E7F2C29991B33B1FB2C3EFB21120E579",2015-09-27 06:23:42,2015-09-27 07:32:25,0,4122,"2015-09-27 09:02:49.625",-80,-80,"SAMSUNG ELECTRONICS","WIFI",NA,"","",""
"29","112","9E40A639B5DAD64255BF7002EE877788763AEBF2",2015-09-27 05:31:25,2015-09-27 07:32:25,0,7259,"2015-09-27 07:36:55.261",-66,-69,"SAMSUNG ELECTRONICS","WIFI",NA,"","",""
"30","112","04D9146EC3F11F5D95B5BFE41874CB714083281D",2015-09-27 06:58:19,2015-09-27 07:31:39,0,1999,"2015-09-27 09:41:10.224",-74,-64,"SAMSUNG ELECTRONICS","WIFI",NA,"","",""
"31","112","2893C8B602BE08BCDEEB6EDFFADA018B84E86AF4",2015-09-27 06:50:04,2015-09-27 07:30:59,0,2455,"2015-09-27 09:31:34.873",-72,-72,"HUAWEI TECHNOLOGIES","WIFI",NA,"","",""
"32","112","B6D0517BD430271C66CA6B56EC6F68AD4B699DB9",2015-09-27 05:43:23,2015-09-27 07:30:59,0,6455,"2015-09-27 07:56:01.274",-69,-73,"SONY MOBILE MUNICATIONS AB","WIFI",NA,"","",""
"33","112","880CC6541D39D2CABABA645F8F1BD1031261CC6F",2015-09-27 05:44:21,2015-09-27 07:30:56,0,6394,"2015-09-27 07:56:01.274",-62,-74,"SAMSUNG ELECTRONICS","WIFI",NA,"","",""
"34","112","807FCCB07EE079E71C40298C8BDD4FB5A5F38A91",2015-09-27 06:37:49,2015-09-27 07:30:37,0,3167,"2015-09-27 09:21:57.387",-78,-76,"SAMSUNG ELECTRO MECHANICS","WIFI",NA,"","",""
"35","112","591CCA39DA8E6EC4673CEEF2D8C81893E553545F",2015-09-27 06:49:52,2015-09-27 07:30:30,0,2437,"2015-09-27 09:31:34.873",-74,-79,"SONY MOBILE MUNICATIONS AB","WIFI",NA,"","",""
"36","112","F50250AEB42095304843F63C61F1148A231E09AC",2015-09-27 04:43:19,2015-09-27 07:30:03,0,10003,"2015-09-27 06:05:24.498",-80,-79,"SONY MOBILE MUNICATIONS AB","WIFI",NA,"","",""
"37","112","7CDC0603E28590E7D0F23162636C7EBA5AE4361C",2015-09-27 06:23:02,2015-09-27 07:29:42,0,3999,"2015-09-27 09:02:49.625",-62,-63,"SAMSUNG ELECTRONICS","WIFI",NA,"","",""
