"","idDispositivo","tiempo_total","tiempo_absoluto_102","tiempo_absoluto_112","tiempo_absoluto_122","tiempo_absoluto_132","tiempo_absoluto_142","veces"
"67","062E2A0234F68CC4F58E43B1ED3A7A8F91C36C02",17,0,0,0,17,0,15
"68","0655287E088FF39E85C7FB96C74F0EAEA194F930",1069,0,1045,0,24,0,8
"69","065E07A39903B0FBCB97627B1784300A52971BD4",30287,2187,19258,10,5761,3071,6
"70","06BBC76C51609790122A7C171FF9646A58B02257",68695,400,58036,4397,1252,4610,9
"71","06BFEC4EDAD2A371D2EDC10226375E04E007C7AE",83378,1706,45463,17251,4375,14583,12
"72","06E653BC57232F4B85ECADFE8D91256692EBE64C",109,0,0,0,94,15,14
"73","0705FB196F4CF307B0B27FCB5F693A9DB5371A0B",5931,0,241,120,838,4732,6
"74","070DA44EDE3DB90008B8359FE8F0EDF34EEDC0AE",31597,5131,20330,1409,812,3915,7
"75","071C1B1CEF6B02A14F789EC38239F4C87737704A",3538,0,14,0,3257,267,27
"76","071E390F39132C413EF278BDE9801A1711CDF483",1630,0,0,0,1090,540,10
"77","072945B98A0A28DF80D6B17365E575497214AE99",2057,0,0,0,2001,56,6
"78","073D205B331A916940491A98E03BF54DB486AAD6",51324,16024,34113,830,190,167,6
"79","074D81016A9D36B30058D889366DAE4A124B6EDA",37068,441,28481,276,2754,5116,9
"80","075D8BEF48D663FA6A4E6EE6FDDDACFD72D725DF",593369,26513,497330,25832,4548,39146,47
"81","077BB92E24088736A6969383A27E6FC97D370036",35727,236,28778,5291,1422,0,6
"82","077E87B09BC1B5B3DA0D6ED636D9D9D1068AA3F5",22657,0,19815,1527,35,1280,6
"83","078572AD1C96D3643B08EE53BD7DDB747F322488",20727,599,10630,1291,3944,4263,9
"84","079F0E179D46DD3231DD8DB9B7E90999C65FC6F5",193,0,0,0,193,0,8
"85","07A07C249B0BDF6CBC2EFEFA1EE729BD1827166B",2128,2128,0,0,0,0,8
"86","07CFCBFB07FA9EC1B075DE0C588040FDF1880D74",55830,45,42696,7126,394,5569,10
"87","084664BB272AFF9244CD80CFD698AEA9510C199E",1595,0,0,900,358,337,10
"88","08561D83461D8B226F7736D9E0C673320B9565F8",496,0,0,0,496,0,6
"89","0878A272779994384519DCB22A2CAB6080C0C1D2",49,0,0,0,49,0,7
"90","08791E341353AE3B0B854D0CB4DEDBA5D0DB172F",172,0,0,0,172,0,8
"91","0893F9D8C68FCFD8446503EB6852AD743DC1F623",93,93,0,0,0,0,7
"92","08FAB80D164883CAC44C156E4032F18BFE50D2B8",983,0,0,0,972,11,8
"93","094A7FAFEF3175D546192AA55CD67BD9DDAF46C2",1240,0,0,0,1240,0,7
"94","094F498AC444FD2489EB981657AAAB1B297C7F6A",10745,138,3109,4632,2866,0,7
"95","095AFCDE24E00E2708C87D7A6D71A7C5829E7028",67811,138,63468,1417,395,2393,10
"96","096A947EC1BC23074B640AB48A46D731A1C50EA2",33485,0,26959,1057,832,4637,9
"97","097462791731542ADA8B979DF7CB727808BD35F1",39,0,0,0,39,0,7
"98","097B5F1069F1C4F3282FC071D48E68A12ECD9165",190004,8811,76113,16058,37316,51706,10
"99","097DB46894DCDEBCAE835E3794BC57CFD710F3D7",46847,167,33993,8798,1618,2271,6
"100","09818DBA81491F93C63BF85081C2A76311FD24A3",84900,0,66826,10858,4955,2261,11
"101","09864AC8985880F0C0166623FAEBF21D075269FA",5158,0,7,0,4135,1016,11
"102","09C5642399B8A1C3F1DA7A9D350880AF0186ABE8",175,0,0,0,152,23,10
"103","09DCF499A8649A8B8B0E411E0DAC515E6061AD97",39352,491,30139,8722,0,0,10
"104","09FAEC621CBF41E92839B0472D2E58456EB48C65",109723,0,96353,9919,382,3069,16
"105","0A01FD19934D44BC8944A647BBE6E321B31520ED",52333,0,0,0,49520,2813,13
"106","0A4C0A3EF023E886F98DBFCA7A4C9F7D7B27D792",1216,0,9,0,1207,0,6
"107","0A556EE61932F4850249CC465767B5E109F7BB87",43426,7809,7480,13738,1761,12638,6
"108","0A69DC1F18CB50874D9F41F61AC9C3B169DDCB78",26172,0,26172,0,0,0,6
"109","0A850E21092660AADD3B6C5FBD46B39D65CB7812",39120,182,35663,2138,904,233,8
"110","0AA13819D837456FD96B14B5C7947151D596A985",79239,5233,51065,13648,1894,7399,14
"111","0AD13CBF9508B52752B9395DF2C2A8D11283D13E",618,0,559,0,59,0,12
"112","0AEBF61B16F20784E8BAACA609B1293C3C2DB147",6427,0,0,0,6427,0,6
"113","0AED5C9458FA5C7E8AC349B27BA91E50F96EBE0F",10413,0,8415,896,299,803,6
"114","0AF63492401A37147A2F80B803CC368942A4F635",42507,0,38884,407,1226,1990,8
"115","0B46838A03378E218775CE0C692312EB1B52430E",6660,0,1805,0,0,4855,6
"116","0B65E958E8F94A8F65E99AE65B2996F99AA7A9ED",11931,345,9950,522,849,265,9
"117","0B8EC53AA27F06930A963D76F39649EFF8C82263",37647,0,13287,3558,4158,16644,7
"118","0B9408BFC2CFB76ED6231504060D6573DD57FA42",688280,175,688105,0,0,0,53
"119","0B9658FD677F8470A4C39539E2419C603A9CCE4A",61967,5296,47024,4551,1778,3318,13
"120","0B97ACF98F8D8FAFB2F6A04137617F89DD34CFE4",5169,0,0,0,5134,35,6
"121","0B9957D9E4C8FB2392B0C1EA1FBF2A00FD8815D1",44632,0,33708,8110,1264,1550,8
"122","0BEE6316EEF444D2E9FD1CD3580D8E2A33DC455F",34813,134,6613,6104,17306,4656,8
"123","0BF2B88AB5B121E7D6987ECB7C20E94F52F13983",2783,0,19,0,2684,80,8
"124","0C0CD59AA185D6EC72E0CDFBD485C2E36FA6E1A7",412,0,0,0,412,0,7
"125","0C343D6CED6878E1EFFBB9B0770FE7CA300DC160",65850,1985,30771,10255,6506,16333,15
