"";"Fecha";"Calle";"Espiras";"Mobywit"
"93";2016-09-01 06:00:00;"Constitución";8;5
"94";2016-09-01 06:00:00;"Dr-Oloriz";0;6
"95";2016-09-01 06:00:00;"Méndez-Núñez";27;23
"96";2016-09-01 06:15:00;"Beiro-Andalucía";4;2
"97";2016-09-01 06:15:00;"Constitución";28;3
"98";2016-09-01 06:15:00;"Dr-Oloriz";0;7
"99";2016-09-01 06:15:00;"Méndez-Núñez";32;12
"100";2016-09-01 06:30:00;"Beiro-Andalucía";7;9
"101";2016-09-01 06:30:00;"Constitución";25;4
"102";2016-09-01 06:30:00;"Dr-Oloriz";0;8
"103";2016-09-01 06:30:00;"Méndez-Núñez";45;10
"104";2016-09-01 06:45:00;"Beiro-Andalucía";20;10
"105";2016-09-01 06:45:00;"Constitución";39;4
"106";2016-09-01 06:45:00;"Dr-Oloriz";0;14
"107";2016-09-01 06:45:00;"Méndez-Núñez";84;19
"108";2016-09-01 07:00:00;"Beiro-Andalucía";36;10
"109";2016-09-01 07:00:00;"Constitución";59;6
"110";2016-09-01 07:00:00;"Dr-Oloriz";0;16
"111";2016-09-01 07:00:00;"Méndez-Núñez";129;66
"112";2016-09-01 07:15:00;"Beiro-Andalucía";37;13
"113";2016-09-01 07:15:00;"Constitución";71;5
"114";2016-09-01 07:15:00;"Dr-Oloriz";0;18
"115";2016-09-01 07:15:00;"Méndez-Núñez";168;88
"116";2016-09-01 07:30:00;"Beiro-Andalucía";67;18
"117";2016-09-01 07:30:00;"Constitución";85;13
"118";2016-09-01 07:30:00;"Dr-Oloriz";0;30
"119";2016-09-01 07:30:00;"Méndez-Núñez";168;103
"120";2016-09-01 07:45:00;"Beiro-Andalucía";128;31
"121";2016-09-01 07:45:00;"Constitución";133;14
"122";2016-09-01 07:45:00;"Dr-Oloriz";0;35
"123";2016-09-01 07:45:00;"Méndez-Núñez";237;88
"124";2016-09-01 08:00:00;"Beiro-Andalucía";181;23
"125";2016-09-01 08:00:00;"Constitución";143;16
"126";2016-09-01 08:00:00;"Dr-Oloriz";0;44
"127";2016-09-01 08:00:00;"Méndez-Núñez";315;60
"128";2016-09-01 08:15:00;"Beiro-Andalucía";118;36
"129";2016-09-01 08:15:00;"Constitución";153;19
"130";2016-09-01 08:15:00;"Dr-Oloriz";0;43
"131";2016-09-01 08:15:00;"Méndez-Núñez";233;54
"132";2016-09-01 08:30:00;"Beiro-Andalucía";111;33
"133";2016-09-01 08:30:00;"Constitución";155;21
"134";2016-09-01 08:30:00;"Dr-Oloriz";0;29
"135";2016-09-01 08:30:00;"Méndez-Núñez";282;26
"136";2016-09-01 08:45:00;"Beiro-Andalucía";97;34
"137";2016-09-01 08:45:00;"Constitución";167;21
"138";2016-09-01 08:45:00;"Dr-Oloriz";0;48
"139";2016-09-01 08:45:00;"Méndez-Núñez";285;78
"140";2016-09-01 09:00:00;"Beiro-Andalucía";60;58
"141";2016-09-01 09:00:00;"Constitución";101;19
"142";2016-09-01 09:00:00;"Dr-Oloriz";0;39
"143";2016-09-01 09:00:00;"Méndez-Núñez";206;135
"144";2016-09-01 09:15:00;"Beiro-Andalucía";116;25
"145";2016-09-01 09:15:00;"Constitución";155;25
"146";2016-09-01 09:15:00;"Dr-Oloriz";0;55
"147";2016-09-01 09:15:00;"Méndez-Núñez";248;169
"148";2016-09-01 09:30:00;"Beiro-Andalucía";120;38
"149";2016-09-01 09:30:00;"Constitución";196;14
"150";2016-09-01 09:30:00;"Dr-Oloriz";0;55
"151";2016-09-01 09:30:00;"Méndez-Núñez";260;154
"152";2016-09-01 09:45:00;"Beiro-Andalucía";96;30
"153";2016-09-01 09:45:00;"Constitución";194;25
"154";2016-09-01 09:45:00;"Dr-Oloriz";0;44
"155";2016-09-01 09:45:00;"Méndez-Núñez";281;54
"156";2016-09-01 10:00:00;"Beiro-Andalucía";117;47
"157";2016-09-01 10:00:00;"Constitución";182;27
"158";2016-09-01 10:00:00;"Dr-Oloriz";0;48
"159";2016-09-01 10:00:00;"Méndez-Núñez";308;104
"160";2016-09-01 10:15:00;"Beiro-Andalucía";119;29
"161";2016-09-01 10:15:00;"Constitución";193;30
"162";2016-09-01 10:15:00;"Dr-Oloriz";0;49
"163";2016-09-01 10:15:00;"Méndez-Núñez";200;94
"164";2016-09-01 10:30:00;"Beiro-Andalucía";106;35
"165";2016-09-01 10:30:00;"Constitución";195;35
"166";2016-09-01 10:30:00;"Dr-Oloriz";0;53
"167";2016-09-01 10:30:00;"Méndez-Núñez";312;138
"168";2016-09-01 10:45:00;"Beiro-Andalucía";104;29
"169";2016-09-01 10:45:00;"Constitución";206;30
