5
#n time_102	time_112	time_122	time_132	time_142
0	11684	0	0	0
120	3859	0	159	1855
1167	3094	274	599	1487
0	0	0	0	0
0	0	0	1452	186
15	2365	0	0	0
259	0	0	918	29
354	605	0	16723	13953
0	0	0	988	0
33	0	0	0	0
2641	4962	0	422	736
33	4107	0	0	0
0	0	0	30	0
0	557	68	94	0
1320	0	56	0	15
0	2315	1184	0	133
0	0	0	1475	0
0	0	0	8	0
0	25	7	569	504
402	726	0	223	1679
0	707	0	0	0
3971	139	0	100	110
687	0	0	0	0
0	0	0	0	0
118	1898	0	63	441
0	561	0	0	0
22	301	82	195	926
0	0	0	820	434
0	4983	10875	0	0
0	0	0	0	0
0	0	0	0	0
0	2917	1124	62	243
0	776	1202	0	0
676	9852	825	903	3627
0	0	0	233	0
0	170	0	1519	852
189	0	0	0	0
0	0	0	264	0
0	0	0	0	0
80	1089	0	2909	3823
0	3395	3175	0	859
0	1797	584	0	536
0	0	0	69	0
4	0	0	0	0
31	0	0	214	229
0	17334	16174	362	362
854	10874	2319	1210	2175
0	0	0	0	0
75	1550	0	0	313
0	0	0	25694	0
0	16	142	176	380
0	1517	11	270	2574
0	0	0	241	0
77	5902	0	0	2707
227	65	0	0	51
0	0	0	1544	0
1404	6211	3848	50	1063
0	0	0	0	0
0	0	0	21	0
116	0	0	0	0
0	0	0	0	0
140	0	0	0	0
0	4259	0	0	0
0	0	0	0	0
0	0	0	75	0
121	83	0	0	6
0	0	0	0	0
3219	5901	2975	268	436
1918	54	0	868	6
0	0	0	0	0
0	5424	4051	0	0
1710	7637	1385	4	923
0	0	0	4	0
20	0	0	0	0
532	0	0	0	0
0	0	0	0	0
0	0	0	79	0
463	1861	0	2191	2938
60	0	0	0	0
3531	6539	5420	457	883
0	0	0	965	0
0	0	0	0	0
0	0	0	0	0
0	0	81	0	0
0	6728	5582	179	535
4	0	0	0	0
1345	9030	1302	0	302
0	0	0	0	0
0	4	0	0	0
1514	1371	33	170	785
0	0	0	11	0
0	138	28	139	139
1219	0	0	1190	716
0	2487	0	0	0
0	0	0	0	0
18	0	0	61	369
0	5330	1186	245	245
234	1369	0	159	0
0	226	0	0	0
0	0	0	199	199
380	3973	176	1093	2990
0	2690	1427	0	61
0	0	0	0	0
386	0	0	0	0
0	95	497	0	0
0	5653	4965	0	0
0	5167	0	41	52
0	0	0	655	50
0	0	0	0	147
2263	1591	4	0	0
0	0	0	0	0
0	15	0	0	0
48	1140	0	2739	2303
0	0	0	0	0
14	605	0	134	645
0	0	0	1141	0
297	1295	0	338	931
0	5341	0	19	550
6900	8885	819	0	0
0	0	0	0	0
0	13463	216	0	141
0	0	0	300	0
0	0	0	33	0
0	0	0	0	0
240	1353	966	107	282
253	0	0	0	0
0	0	0	1	1
15	0	2459	16629	12150
0	559	573	285	856
855	0	0	15	0
1025	5705	3114	675	1302
5129	2796	48	281	1138
852	0	0	1081	3421
59	0	0	545	600
0	0	0	300	0
0	0	0	0	0
0	410	85	0	0
18	0	481	0	602
0	0	0	0	0
109	7008	338	764	4526
0	0	0	0	0
1	1601	0	0	3324
0	0	0	0	0
39	0	0	84	0
0	0	0	0	0
0	0	0	0	0
0	102	0	164	0
15	937	0	0	104
1198	385	1562	0	484
1202	1584	0	632	698
0	0	0	0	0
248	0	0	0	0
677	8716	134	93	124
0	179	240	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	232	0
0	1512	4	0	0
0	699	619	0	0
0	0	0	1	0
0	0	0	0	0
0	0	0	0	0
169	3179	431	763	3917
49	0	0	0	0
0	0	0	0	0
0	1872	0	0	0
0	0	0	0	0
0	14153	1490	0	0
169	1546	443	0	0
0	0	0	0	0
0	1473	220	11	0
0	0	0	1	0
368	2282	196	9	773
0	0	0	0	0
0	0	0	175	0
0	0	0	773	0
0	0	0	16	0
0	9	0	0	0
0	876	0	0	0
0	0	0	0	0
0	0	0	240	98
307	2862	126	0	0
3063	0	0	0	0
0	0	0	0	0
0	41	0	22	512
0	2133	456	0	0
0	3847	0	23	0
181	488	0	0	0
0	1582	285	0	5
109	0	0	0	0
6	0	0	0	0
0	0	0	0	0
0	6707	15	0	142
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
1407	4546	2067	131	131
106	0	499	0	4
816	64	108	468	262
21	0	0	0	0
0	4370	0	121	654
0	394	736	21	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	387	384	4	166
0	7591	747	3203	3775
0	0	0	0	0
0	5441	0	0	258
357	506	353	90	38
677	0	0	0	0
0	0	359	35	0
0	105	0	150	0
394	2123	20	0	286
56	0	0	0	0
0	0	0	0	0
119	0	0	0	0
0	1039	0	0	0
252	3005	724	127	54
96	0	0	0	0
0	3019	1998	0	0
15	3306	94	584	645
0	0	0	0	0
0	4080	0	0	0
0	0	0	61	0
0	0	0	0	0
0	0	2289	0	0
216	208	167	6	0
0	0	0	0	0
0	0	511	0	0
172	1698	2281	459	2301
0	1142	0	0	0
1037	5524	0	0	0
4378	4733	4115	19	1596
0	2411	1568	0	403
0	593	5722	0	255
249	1504	1584	490	843
0	0	362	121	0
0	0	0	1	0
0	0	0	0	0
0	0	0	480	0
0	1082	0	0	0
0	0	0	0	0
0	0	0	0	0
0	1875	0	0	0
4	0	0	0	0
218	4879	2118	152	176
0	0	0	0	0
0	0	0	224	0
0	0	0	0	0
46	0	0	0	0
0	2729	0	0	0
0	0	0	3	0
0	0	0	2237	544
805	4460	2768	88	974
0	0	0	733	0
1221	231	0	0	0
214	0	0	0	0
368	3572	0	0	29
0	0	0	0	0
10	0	0	0	0
2065	0	0	0	0
0	0	0	0	0
301	0	0	0	4
153	1276	0	632	133
216	0	0	0	0
0	0	0	465	0
21	5464	9715	362	1273
1060	1075	0	70	70
0	0	0	190	0
0	4851	2340	0	0
0	0	0	0	0
0	0	0	268	0
1480	2440	0	33	447
201	2939	533	298	479
0	8643	888	134	1046
11	0	0	63	32
60	1964	0	0	917
0	0	0	0	0
1996	0	0	0	0
0	0	0	0	0
0	0	0	0	0
159	1964	35	0	0
0	0	0	119	12
0	11254	0	485	317
395	4126	650	0	957
0	8463	1188	180	0
0	0	0	217	3
0	1302	0	457	303
1221	0	0	5	5
0	17	200	0	0
0	0	0	42	0
0	0	0	0	0
0	0	0	0	0
0	0	0	476	0
982	0	0	0	34
0	0	0	0	0
237	528	460	0	0
79	588	0	0	300
0	37366	0	0	214
0	505	0	0	1607
0	0	0	0	0
1485	340	0	0	0
0	0	0	19	0
46	0	0	0	0
0	0	0	0	0
0	0	0	323	0
693	2475	1408	37	849
0	0	0	38	0
60	0	0	300	1440
2992	20	0	0	1727
1014	635	0	201	397
0	1703	1033	41	0
119	459	0	45	14
597	271	769	166	724
2085	0	0	0	6
337	793	140	0	0
1379	1952	0	357	0
0	1006	233	477	986
63	0	0	0	0
23	94	0	0	0
21	1559	1721	0	88
0	2433	0	0	0
615	951	357	0	83
510	0	346	546	2485
3019	4085	0	0	360
0	0	0	18	0
318	7220	1577	278	48
411	2611	1749	0	0
0	0	0	1	0
0	0	0	0	0
0	0	0	10045	0
16541	8679	0	3003	10286
12	1004	2870	0	901
0	3348	0	8552	6038
120	0	0	0	0
0	0	0	1	0
20	0	0	0	0
856	402	0	1200	1926
0	24	0	0	0
0	0	0	151	0
0	3809	0	120	120
0	0	0	0	0
0	0	0	0	0
26	0	0	0	0
0	2435	0	45	523
0	1170	0	0	284
1604	0	0	0	0
0	7594	0	149	0
0	0	0	2979	648
0	0	0	0	326
0	2638	1283	100	130
5203	171	0	74	168
200	0	0	0	209
57	0	0	215	321
3626	5949	985	3298	4431
0	80	105	0	53
0	52	0	0	0
87	0	0	652	12
38	876	5369	0	0
0	0	0	0	0
3319	0	0	197	763
0	0	0	0	0
1478	0	0	0	0
0	0	0	0	0
222	106	0	323	429
0	701	415	0	0
0	6044	0	79	242
0	0	0	0	0
0	0	0	0	0
0	0	0	637	0
0	0	0	0	0
122	4866	5794	0	488
0	0	0	0	0
1677	3690	0	0	0
254	0	0	0	458
0	0	0	45	0
0	0	0	0	0
0	0	0	133	0
0	3583	300	2398	4200
0	3143	280	408	3140
908	847	35	165	228
0	42	0	0	0
0	0	0	10	0
643	0	0	0	0
642	0	0	0	176
0	34	0	136	589
0	0	0	0	0
0	13003	0	0	1538
0	4886	794	0	235
0	0	0	0	0
599	4012	0	332	460
36	2591	0	4	227
52	0	0	139	139
0	0	0	291	0
0	0	0	23	0
230	0	0	139	0
0	0	0	0	0
0	4815	1235	17	0
0	0	0	0	0
1070	5527	0	206	1236
0	0	0	0	0
4188	0	0	0	0
0	7775	9	186	440
757	0	0	217	801
0	0	960	802	1123
0	0	0	321	2
0	448	789	0	0
0	368	0	0	0
