"Real","rpart","rf","glm","nnet"
216,225.54820415879,199.992950456698,166.301218623363,153.760529039302
78,122.707602339181,128.937356853282,167.363218986344,120.150541988329
184,225.54820415879,230.561360409985,267.712192601483,223.083440422851
337,199.401459854015,186.469894828235,102.340197568917,149.096639236487
238,199.401459854015,230.620646380748,167.689625996809,213.83934346144
167,122.707602339181,109.16999209767,155.546480785486,123.359795996463
19,39.772397094431,33.9531210011851,61.5758111919507,47.1406031292132
235,225.54820415879,226.02954438472,188.315947794958,230.288689951129
189,313.053435114504,314.620473442412,305.488552535621,245.933429015515
249,199.401459854015,218.337721916813,162.986785170071,202.048750725387
268,225.54820415879,242.913089560019,215.432040669434,249.34544845063
271,313.053435114504,231.818276553951,244.841964934467,192.993271499929
91,122.707602339181,87.3944035716682,119.916476489847,93.6829504051239
210,225.54820415879,234.212706230427,200.445265315189,236.047949496183
259,223.741935483871,208.595753283791,308.865002423305,270.739641820866
52,122.707602339181,87.3944035716682,119.916476489847,93.6829504051239
262,225.54820415879,243.623895445326,239.690675709895,270.52629304619
241,225.54820415879,231.468842124365,207.065605000329,232.451769326844
215,199.401459854015,201.461032272283,138.728150129609,180.867906129827
251,225.54820415879,234.512560345448,191.173405628972,228.16460385507
300,225.54820415879,242.913089560019,215.432040669434,249.34544845063
273,313.053435114504,307.581228226738,313.241436239578,340.92412704129
42,122.707602339181,68.6761189903055,119.158528224794,91.5885291031231
99,225.54820415879,221.222454015664,170.677652439637,215.870550861772
82,39.772397094431,55.955937036604,102.666604579381,90.7024627586065
416,225.54820415879,338.565102907185,421.630438513358,429.375854037299
316,223.741935483871,222.109156390661,357.382272504228,313.101331011986
297,225.54820415879,224.650463588211,151.927995234266,206.141399259778
267,225.54820415879,230.33005279876,176.186630274727,223.168115037402
59,122.707602339181,78.7315781508022,114.407498654757,86.5906349547513
149,122.707602339181,124.792515588973,180.563064091001,146.635061894024
219,225.54820415879,226.02954438472,188.315947794958,230.288689951129
168,225.54820415879,146.845345259584,162.538336772237,136.798990045576
31,39.772397094431,33.0261492973832,49.4464936717199,36.5501808314332
259,225.54820415879,234.512560345448,191.173405628972,228.16460385507
210,122.707602339181,119.735025690301,150.795451215449,118.361901848091
110,39.772397094431,53.8135752387795,77.6331141306214,62.6660339611163
12,39.772397094431,33.0261492973832,49.4464936717199,36.5501808314332
60,39.772397094431,56.4432813807867,89.7624316508522,73.2564562588963
7,39.772397094431,46.9699310036421,73.7051287121815,57.7310254269931
219,220.961538461538,276.780292719351,179.81894351704,224.42976575922
54,39.772397094431,71.2166794558062,129.545463746798,75.6983605139229
103,225.54820415879,223.851465506776,159.680878938223,150.262422191895
233,122.707602339181,177.422985111656,186.815601460269,258.42958813291
39,39.772397094431,49.6489108530804,97.9637637526431,78.9118700225531
22,39.772397094431,37.2350886983207,37.6297554708615,42.2637779120942
20,39.772397094431,37.2350886983207,37.6297554708615,42.2637779120942
219,225.54820415879,227.4968249183,279.841510121714,219.286442183298
230,225.54820415879,283.468847074199,296.40927789261,318.543396000966
99,122.707602339181,100.348935718641,143.417163265255,112.769373698683
17,39.772397094431,47.1528611450151,54.1493344984579,48.3407735674866
27,39.772397094431,43.2691718403192,69.2666784615169,69.0371506570624
188,225.54820415879,192.169091228609,252.581020947332,208.083174378703
253,199.401459854015,214.136503005084,166.914770588511,206.98375925951
41,122.707602339181,82.378093119993,132.045794010078,104.273372702904
329,313.053435114504,302.975664571325,228.336213597963,266.79145495034
17,39.772397094431,36.5095919059241,32.8787259008245,37.2658837637224
225,225.54820415879,223.520974949205,179.044088108741,217.57418155729
45,39.772397094431,45.9549970067356,66.2786520186887,58.9311958652666
64,225.54820415879,257.653490391377,223.633372771225,255.000862214286
47,39.772397094431,53.7970387348433,90.5372870591503,80.1120404608265
175,225.54820415879,233.675582516733,187.557999529905,228.13588368566
23,39.772397094431,44.6301153450557,81.0281936658749,33.336671322803
233,225.54820415879,234.212706230427,200.445265315189,236.047949496183
433,313.053435114504,304.454380202319,317.617870055852,256.523209042599
30,39.772397094431,45.9549970067356,66.2786520186887,58.9311958652666
178,225.54820415879,224.650463588211,151.927995234266,206.141399259778
228,313.053435114504,316.422027106506,264.724166158655,298.562661979402
52,39.772397094431,46.7127038673146,62.6463387763766,65.539043809655
7,39.772397094431,46.9699310036421,73.7051287121815,57.7310254269931
242,225.54820415879,221.029921415815,175.116102690302,212.639173023167
128,122.707602339181,215.578371030066,196.324694853544,150.68377350863
183,220.961538461538,276.780292719351,179.81894351704,224.42976575922
284,225.54820415879,233.176216927071,299.723711345902,270.255174314882
50,225.54820415879,157.024075380972,129.913266062671,121.989262145962
149,225.54820415879,157.092747572746,204.063750866409,165.721485187583
207,199.401459854015,207.757133221166,131.301673436116,182.0680765681
25,39.772397094431,40.4665422516072,50.5170212561458,54.948621511875
22,39.772397094431,43.1290037384002,61.8883905113231,63.4446225076542
316,225.54820415879,273.642137179123,284.279960372379,307.952973703186
52,39.772397094431,44.6301153450557,81.0281936658749,33.336671322803
178,313.053435114504,289.924284682219,204.077578557501,245.61061035478
24,39.772397094431,36.3789804831782,26.2583862156842,33.767776916315
263,313.053435114504,303.531157256841,288.982801199117,319.743436051067
71,122.707602339181,103.643300443968,159.161886884553,112.286384389499
272,225.54820415879,229.396473132745,275.465076305441,249.074329719322
23,39.772397094431,50.8763692724952,78.4079695389195,69.5216181630465
323,220.961538461538,276.780292719351,179.81894351704,224.42976575922
29,39.772397094431,44.6985871993035,53.3744790901598,41.4851893655564
192,225.54820415879,224.650463588211,151.927995234266,206.141399259778
44,39.772397094431,34.5008229988208,56.7695586254133,12.1558267272431
89,122.707602339181,119.121918669647,144.175111530309,114.863795000684
231,199.401459854015,171.053112392288,133.921897563072,145.883129727856
99,122.707602339181,82.378093119993,132.045794010078,104.273372702904
33,39.772397094431,53.8135752387795,77.6331141306214,62.6660339611163
261,199.401459854015,198.400553368936,170.309850123764,177.654396621196
229,225.54820415879,239.563782448429,251.206441264979,227.893485123762
167,122.707602339181,208.921526188542,184.195377333313,140.124801210673
36,39.772397094431,74.2758515421362,99.034291337069,97.3103107029949
232,225.54820415879,231.513135343361,211.816634570366,237.873414970348
67,122.707602339181,134.961810178117,167.675798305717,133.950218294243
